"","resp","normality","cover","cropsys","time","cover.cropsys","cover.time","cropsys.time","cover.cropsys.time","rsq"
"1","agb",0.0219840777382907,"F=12.29, p=0","F=0.14, p=0.934","F=11.51, p=0","F=0.2, p=0.994","F=6.68, p=0","F=0.6, p=0.734","F=0.33, p=0.996","0.61, 0.61"
"2","weeds",0.000909511739237937,"F=0.86, p=0.488","F=0.74, p=0.557","F=1.67, p=0.191","F=0.51, p=0.907","F=0.82, p=0.583","F=0.26, p=0.954","F=0.31, p=0.999","0.38, 0.38"
"3","inputC",0.000149976852292493,"F=22.14, p=0","F=0.2, p=0.894","F=0.72, p=0.489","F=0.49, p=0.918","F=7.39, p=0","F=0.2, p=0.976","F=0.65, p=0.894","0.89, 0.9"
"4","inputN",3.15251978071694e-07,"F=15.56, p=0","F=0.2, p=0.892","F=0.7, p=0.5","F=0.5, p=0.913","F=4.61, p=0","F=0.36, p=0.904","F=0.58, p=0.939","0.93, 0.94"
"5","inputCN",0.00687751780576789,"F=9.04, p=0","F=0.26, p=0.854","F=3.13, p=0.046","F=0.73, p=0.72","F=1.51, p=0.156","F=0.7, p=0.652","F=0.86, p=0.649","0.76, 0.77"
"6","Yield_scaled",0.00668074817868644,"F=4.16, p=0.006","F=1.04, p=0.422","F=2.24, p=0.111","F=0.67, p=0.769","F=1.05, p=0.401","F=2.01, p=0.069","F=0.42, p=0.992","0.46, 0.76"
"7","multifunctionality_index_agronomy2",0.000905097671464541,"F=3.77, p=0.006","F=0.35, p=0.791","F=3.29, p=0.04","F=0.33, p=0.983","F=3.84, p=0","F=0.74, p=0.617","F=0.53, p=0.966","0.69, 0.71"
"8","inorgN",0.112838881226236,"F=0.37, p=0.826","F=0.16, p=0.917","F=1.38, p=0.256","F=0.5, p=0.902","F=0.51, p=0.85","F=1.92, p=0.084","F=0.7, p=0.846","0.35, 0.4"
"9","GMC",9.53129622993552e-05,"F=1.37, p=0.247","F=1.52, p=0.274","F=3.5, p=0.032","F=0.57, p=0.867","F=0.71, p=0.683","F=4.75, p=0","F=0.66, p=0.887","0.36, 0.7"
"10","BG",9.53129622993552e-05,"F=1.37, p=0.247","F=1.52, p=0.274","F=3.5, p=0.032","F=0.57, p=0.867","F=0.71, p=0.683","F=4.75, p=0","F=0.66, p=0.887","0.36, 0.7"
"11","NAG",9.53129622993552e-05,"F=1.37, p=0.247","F=1.52, p=0.274","F=3.5, p=0.032","F=0.57, p=0.867","F=0.71, p=0.683","F=4.75, p=0","F=0.66, p=0.887","0.36, 0.7"
"12","PHOS",0.13559991613276,"F=0.16, p=0.96","F=3.72, p=0.055","F=3.21, p=0.044","F=1.25, p=0.279","F=0.19, p=0.991","F=1.56, p=0.165","F=0.44, p=0.988","0.38, 0.63"
"13","WEC",0.00311646407158083,"F=1.36, p=0.251","F=0.09, p=0.964","F=8.9, p=0","F=0.63, p=0.811","F=0.47, p=0.877","F=0.34, p=0.915","F=0.56, p=0.952","0.57, 0.66"
"14","WEN",5.71656916170141e-09,"F=0.55, p=0.696","F=0.68, p=0.587","F=0.15, p=0.858","F=0.45, p=0.939","F=0.51, p=0.85","F=0.71, p=0.641","F=0.73, p=0.816","0.27, 0.27"
