"","resp","AIC_fit","AIC_fit_corAR1","AIC_fit_corCompSymm","bestmod"
"1","agb",441.481231224497,445.470972790665,441.81742211175,"fit"
"2","weeds",-59.0464439622161,-56.6103022082054,-55.0633121605542,"fit"
"3","inputC",191.324941112305,195.11111727177,191.730281612432,"fit"
"4","inputN",1624.35368424662,1628.25774204411,1625.31781394285,"fit"
"5","inputCN",1172.83581385526,1176.76127897636,1175.6766527085,"fit"
"6","Yield_scaled",24.8393488777201,28.0154630034919,22.5785988667421,"fit_corCompSymm"
"7","multifunctionality_index_agronomy",43.0318058529356,45.8002039655616,45.9971177089604,"fit"
"8","multifunctionality_index_agronomy2",-221.538720079001,-217.660578457434,-217.995145438862,"fit"
"9","multifunctionality_index_yield",355.188379002291,358.720725767945,356.028552015539,"fit"
"10","multifunctionality_index_yield2",116.395977752316,119.928540189372,114.159835704978,"fit_corCompSymm"
"11","inorgN",1181.39926320061,1185.08549722213,1180.7429141697,"fit_corCompSymm"
"12","GMC",-857.014006453725,-853.152286315726,-854.999343155885,"fit"
"13","EEA_C",1853.58147927431,1856.02892498302,1852.61498079631,"fit_corCompSymm"
"14","EEA_N",1738.71580108247,1741.43972291339,1735.25239641797,"fit_corCompSymm"
"15","PHOS",1980.17779496144,1980.42484819909,1976.23891155278,"fit_corCompSymm"
"16","WEC",1522.89314914969,1526.84753213107,1525.58628100421,"fit"
"17","WEN",1556.24247399834,1558.66866529917,1558.11298542177,"fit"
"18","MBC",2085.59948350515,2089.43136489408,2087.12730207293,"fit"
"19","orgC",722.067434670148,725.941654792888,725.128634951699,"fit"
"20","totN",-56.4815862372973,-52.9440811634504,-55.8858132421821,"fit"
"21","POC",688.149842465389,690.200190421682,682.902524151404,"fit_corCompSymm"
"22","MAOC",641.132974458868,642.531725149833,645.120790003098,"fit"
"23","WAS",1672.75193173577,1674.63052866452,1673.98969428542,"fit"
"24","multifunctionality_index_soil",-25.2537642007929,-22.2160751434084,-21.5739346635146,"fit"
"25","multifunctionality_index_soil2",-299.169720895498,-296.954262628238,NA,"fit"
