"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"3","No cover","Corn-Corn-Corn",77.7119059166667,9.63870182430932,3,47.0372549081622,108.386556925171,"A"
"4","Wheat","Corn-Corn-Corn",93.6001621666667,7.41541527067383,3,70.0010012363664,117.199323096967,"A"
"1","Clover","Corn-Corn-Corn",94.3987371666667,8.30799467107408,3,67.9589902213903,120.838484111943,"A"
"2","Wheat-Clover","Corn-Corn-Corn",83.6406987500001,8.19801103167912,3,57.5509688315578,109.730428668442,"A"
"5","SHM","Corn-Corn-Corn",90.3897104166667,7.72854486959605,3,65.7940313512014,114.985389482132,"A"
"8","No cover","Soybean-Soybean-Soybean",70.9362861666668,9.63870182430932,3,40.2616351581623,101.610937175171,"A"
"9","Wheat","Soybean-Soybean-Soybean",70.0090823333334,7.41541527067382,3,46.4099214030331,93.6082432636337,"A"
"6","Clover","Soybean-Soybean-Soybean",74.1580434166667,8.30799467107411,3,47.7182964713901,100.597790361943,"A"
"7","Wheat-Clover","Soybean-Soybean-Soybean",80.79257475,8.19801103167913,3,54.7028448315577,106.882304668442,"A"
"10","SHM","Soybean-Soybean-Soybean",71.891478,7.72854486959606,3,47.2957989345347,96.4871570654653,"A"
"14","No cover","Corn-Soybean-Corn",71.1040539166668,9.63870182430932,3,40.4294029081622,101.778704925171,"A"
"13","Wheat","Corn-Soybean-Corn",84.3545956666667,7.41541527067382,3,60.7554347363664,107.953756596967,"A"
"12","Clover","Corn-Soybean-Corn",83.5404390833334,8.3079946710741,3,57.1006921380569,109.98018602861,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",92.2647770833333,8.19801103167913,3,66.175047164891,118.354507001776,"A"
"15","SHM","Corn-Soybean-Corn",83.9426429166667,7.72854486959604,3,59.3469638512014,108.538321982132,"A"
"17","No cover","Corn-Cotton-Soybean",89.1893077500001,9.63870182430933,3,58.5146567414955,119.863958758505,"A"
"16","Wheat","Corn-Cotton-Soybean",81.7317208333334,7.41541527067383,3,58.132559903033,105.330881763634,"A"
"18","Clover","Corn-Cotton-Soybean",86.1312415,8.30799467107409,3,59.6914945547235,112.570988445276,"A"
"20","Wheat-Clover","Corn-Cotton-Soybean",73.5459301666667,8.19801103167912,3,47.4562002482244,99.635660085109,"A"
"19","SHM","Corn-Cotton-Soybean",89.2246565833334,7.72854486959605,3,64.6289775178681,113.820335648799,"A"
