"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"16","No cover","Corn-Corn-Corn",2,62.39548825,16.7694104184242,3,9.02774002209981,115.7632364779,"A"
"19","Wheat","Corn-Corn-Corn",2,79.800052,10.4844558164906,3,46.4338343238991,113.166269676101,"A"
"13","Clover","Corn-Corn-Corn",2,91.9887462500001,13.1653052486155,3,50.0908692036116,133.886623296389,"A"
"15","Wheat-Clover","Corn-Corn-Corn",2,89.349844,12.8500620697532,3,48.4552114434477,130.244476556552,"A"
"8","SHM","Corn-Corn-Corn",2,91.67032975,11.4606398159586,3,55.1974589115152,128.143200588485,"A"
"14","No cover","Soybean-Soybean-Soybean",2,79.5105292499999,16.7694104184242,3,26.1427810220996,132.8782774779,"A"
"12","Wheat","Soybean-Soybean-Soybean",2,76.781049,10.4844558164906,3,43.4148313238991,110.147266676101,"A"
"5","Clover","Soybean-Soybean-Soybean",2,69.71458325,13.1653052486155,3,27.8167062036115,111.612460296389,"A"
"11","Wheat-Clover","Soybean-Soybean-Soybean",2,86.68166125,12.8500620697532,3,45.7870286934477,127.576293806552,"A"
"17","SHM","Soybean-Soybean-Soybean",2,69.1733172499999,11.4606398159586,3,32.7004464115151,105.646188088485,"A"
"9","No cover","Corn-Soybean-Corn",2,79.4735112500001,16.7694104184242,3,26.1057630220998,132.8412594779,"A"
"7","Wheat","Corn-Soybean-Corn",2,87.61386325,10.4844558164906,3,54.2476455738991,120.980080926101,"A"
"3","Clover","Corn-Soybean-Corn",2,69.59979,13.1653052486155,3,27.7019129536115,111.497667046388,"A"
"6","Wheat-Clover","Corn-Soybean-Corn",2,86.3506005,12.8500620697532,3,45.4559679434477,127.245233056552,"A"
"4","SHM","Corn-Soybean-Corn",2,70.762264,11.4606398159586,3,34.2893931615152,107.235134838485,"A"
"1","No cover","Corn-Cotton-Soybean",2,112.253046,16.7694104184242,3,58.8852977720997,165.6207942279,"A"
"10","Wheat","Corn-Cotton-Soybean",2,94.30643875,10.4844558164907,3,60.9402210738991,127.672656426101,"A"
"20","Clover","Corn-Cotton-Soybean",2,83.11499925,13.1653052486155,3,41.2171222036114,125.012876296389,"A"
"2","Wheat-Clover","Corn-Cotton-Soybean",2,85.51684425,12.8500620697532,3,44.6222116934478,126.411476806552,"A"
"18","SHM","Corn-Cotton-Soybean",2,82.6382775000001,11.4606398159586,3,46.1654066615153,119.111148338485,"A"
"34","No cover","Corn-Corn-Corn",3,60.0119795,16.7694104184242,3,6.6442312720998,113.3797277279,"A"
"26","Wheat","Corn-Corn-Corn",3,86.3289345000001,10.4844558164906,3,52.9627168238992,119.695152176101,"A"
"36","Clover","Corn-Corn-Corn",3,76.1492152500001,13.1653052486155,3,34.2513382036116,118.047092296389,"A"
"28","Wheat-Clover","Corn-Corn-Corn",3,74.23050225,12.8500620697532,3,33.3358696934477,115.125134806552,"A"
"27","SHM","Corn-Corn-Corn",3,84.0988015,11.4606398159586,3,47.6259306615153,120.571672338485,"A"
"22","No cover","Soybean-Soybean-Soybean",3,50.0975792500002,16.7694104184243,3,-3.2701689779002,103.465327477901,"A"
"25","Wheat","Soybean-Soybean-Soybean",3,54.9064480000001,10.4844558164906,3,21.5402303238993,88.2726656761008,"A"
"24","Clover","Soybean-Soybean-Soybean",3,64.480547,13.1653052486155,3,22.5826699536114,106.378424046389,"A"
"38","Wheat-Clover","Soybean-Soybean-Soybean",3,70.505063,12.8500620697532,3,29.6104304434476,111.399695556552,"A"
"35","SHM","Soybean-Soybean-Soybean",3,64.61161675,11.4606398159586,3,28.1387459115151,101.084487588485,"A"
"33","No cover","Corn-Soybean-Corn",3,57.0059005,16.7694104184242,3,3.63815227209976,110.3736487279,"A"
"39","Wheat","Corn-Soybean-Corn",3,67.8289237500001,10.4844558164906,3,34.4627060738993,101.195141426101,"A"
"31","Clover","Corn-Soybean-Corn",3,79.1100272500001,13.1653052486155,3,37.2121502036115,121.007904296389,"A"
"21","Wheat-Clover","Corn-Soybean-Corn",3,78.6429807499999,12.8500620697532,3,37.7483481934475,119.537613306552,"A"
"30","SHM","Corn-Soybean-Corn",3,72.30991475,11.4606398159586,3,35.8370439115152,108.782785588485,"A"
"23","No cover","Corn-Cotton-Soybean",3,63.4346272500002,16.7694104184242,3,10.0668790221,116.8023754779,"A"
"40","Wheat","Corn-Cotton-Soybean",3,63.2889737500001,10.4844558164906,3,29.9227560738992,96.6551914261009,"A"
"29","Clover","Corn-Cotton-Soybean",3,67.37847525,13.1653052486154,3,25.4805982036116,109.276352296388,"A"
"32","Wheat-Clover","Corn-Cotton-Soybean",3,68.81494625,12.8500620697532,3,27.9203136934478,109.709578806552,"A"
"37","SHM","Corn-Cotton-Soybean",3,78.2169422500001,11.4606398159586,3,41.7440714115154,114.689813088485,"A"
"50","No cover","Corn-Corn-Corn",4,110.72825,16.7694104184242,3,57.3605017720998,164.0959982279,"A"
"51","Wheat","Corn-Corn-Corn",4,114.6715,10.4844558164906,3,81.3052823238991,148.037717676101,"A"
"59","Clover","Corn-Corn-Corn",4,115.05825,13.1653052486154,3,73.1603729536116,156.956127046388,"A"
"60","Wheat-Clover","Corn-Corn-Corn",4,87.3417500000001,12.8500620697532,3,46.4471174434478,128.236382556552,"A"
"56","SHM","Corn-Corn-Corn",4,95.4000000000001,11.4606398159586,3,58.9271291615154,131.872870838485,"A"
"55","No cover","Soybean-Soybean-Soybean",4,83.2007500000003,16.7694104184242,3,29.8330017721,136.568498227901,"A"
