"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","Corn-Corn-Corn",2,83.04089205,8.11997983956407,3,57.1994922106012,108.882291889399,"A"
"4","Soybean-Soybean-Soybean",2,76.372228,8.11997983956407,3,50.5308281606011,102.213627839399,"A"
"1","Corn-Soybean-Corn",2,78.7600058,8.11997983956408,3,52.9186059606011,104.601405639399,"A"
"2","Corn-Cotton-Soybean",2,91.56592115,8.11997983956408,3,65.7245213106011,117.407320989399,"A"
"6","Corn-Corn-Corn",3,76.1638866,8.11997983956405,3,50.3224867606012,102.005286439399,"A"
"5","Soybean-Soybean-Soybean",3,60.9202508,8.11997983956408,3,35.0788509606011,86.7616506393989,"A"
"8","Corn-Soybean-Corn",3,70.9795494,8.11997983956409,3,45.1381495606011,96.8209492393989,"A"
"7","Corn-Cotton-Soybean",3,68.2267929500001,8.11997983956408,3,42.3853931106012,94.068192789399,"A"
"10","Corn-Corn-Corn",4,104.63995,8.11997983956408,3,78.7985501606012,130.481349839399,"A"
"9","Soybean-Soybean-Soybean",4,83.3800000000001,8.11997983956407,3,57.5386001606012,109.221399839399,"A"
"12","Corn-Soybean-Corn",4,99.3843500000001,8.11997983956409,3,73.5429501606011,125.225749839399,"A"
"11","Corn-Cotton-Soybean",4,92.1010000000001,8.11997983956407,3,66.2596001606012,117.942399839399,"A"
