"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group",".group_lower","minys"
"3","No cover","Corn-Corn-Corn",77.7119059166666,9.5383641729548,2,36.6716372705582,118.752174562775,"","",68.1735417437118
"4","Wheat","Corn-Corn-Corn",93.6001621666666,9.5383641729548,2,52.5598935205582,134.640430812775,"","",84.0617979937118
"1","Clover","Corn-Corn-Corn",94.3987371666666,9.5383641729548,2,53.3584685205582,135.439005812775,"","",84.8603729937118
"2","Wheat-Clover","Corn-Corn-Corn",83.6406987499999,9.5383641729548,2,42.6004301038915,124.680967396108,"","",74.1023345770451
"5","SHM","Corn-Corn-Corn",90.3897104166666,9.53836417295479,2,49.3494417705582,131.429979062775,"","",80.8513462437118
"8","No cover","Soybean-Soybean-Soybean",70.9362861666666,9.5383641729548,2,29.8960175205582,111.976554812775,"","",61.3979219937118
"9","Wheat","Soybean-Soybean-Soybean",70.0090823333333,9.5383641729548,2,28.9688136872248,111.049350979442,"","",60.4707181603785
"6","Clover","Soybean-Soybean-Soybean",74.1580434166666,9.5383641729548,2,33.1177747705582,115.198312062775,"","",64.6196792437118
"7","Wheat-Clover","Soybean-Soybean-Soybean",80.7925747499999,9.5383641729548,2,39.7523061038915,121.832843396108,"","",71.2542105770451
"10","SHM","Soybean-Soybean-Soybean",71.8914779999999,9.5383641729548,2,30.8512093538915,112.931746646108,"","",62.3531138270451
"14","No cover","Corn-Soybean-Corn",71.1040539166666,9.53836417295479,2,30.0637852705582,112.144322562775,"B","b",61.5656897437118
"13","Wheat","Corn-Soybean-Corn",84.3545956666666,9.5383641729548,2,43.3143270205582,125.394864312775,"AB","ab",74.8162314937118
"12","Clover","Corn-Soybean-Corn",83.5404390833333,9.5383641729548,2,42.5001704372248,124.580707729442,"AB","ab",74.0020749103785
"11","Wheat-Clover","Corn-Soybean-Corn",92.2647770833333,9.5383641729548,2,51.2245084372248,133.305045729442,"A","a",82.7264129103785
"15","SHM","Corn-Soybean-Corn",83.9426429166666,9.5383641729548,2,42.9023742705582,124.982911562775,"AB","ab",74.4042787437118
"17","No cover","Corn-Cotton-Soybean",89.1893077499999,9.5383641729548,2,48.1490391038915,130.229576396108,"","",79.6509435770451
"16","Wheat","Corn-Cotton-Soybean",81.7317208333333,9.5383641729548,2,40.6914521872248,122.771989479442,"","",72.1933566603785
"18","Clover","Corn-Cotton-Soybean",86.1312414999999,9.53836417295479,2,45.0909728538915,127.171510146108,"","",76.5928773270451
"20","Wheat-Clover","Corn-Cotton-Soybean",73.5459301666666,9.5383641729548,2,32.5056615205582,114.586198812775,"","",64.0075659937118
"19","SHM","Corn-Cotton-Soybean",89.2246565833333,9.5383641729548,2,48.1843879372249,130.264925229442,"","",79.6862924103785
