"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"16","No cover","Corn-Corn-Corn",2,45.89970975,9.39231580669968,3,16.0091690129108,75.7902504870891,"A"
"20","Wheat","Corn-Corn-Corn",2,58.64674475,8.80754810083342,3,30.6171958378941,86.6762936621058,"A"
"7","Clover","Corn-Corn-Corn",2,61.79917,8.63529617627272,3,34.3178035887903,89.2805364112096,"A"
"18","Wheat-Clover","Corn-Corn-Corn",2,57.80672275,10.0820198011174,3,25.7212360841367,89.8922094158632,"A"
"8","SHM","Corn-Corn-Corn",2,62.8040210000001,7.69861214143423,3,38.3036012346804,87.3044407653197,"A"
"10","No cover","Soybean-Soybean-Soybean",2,64.41190175,9.39231580669965,3,34.5213610129109,94.302442487089,"A"
"3","Wheat","Soybean-Soybean-Soybean",2,53.7116082499999,8.80754810083342,3,25.6820593378941,81.7411571621058,"A"
"5","Clover","Soybean-Soybean-Soybean",2,51.02064,8.63529617627272,3,23.5392735887904,78.5020064112096,"A"
"14","Wheat-Clover","Soybean-Soybean-Soybean",2,57.60117325,10.0820198011174,3,25.5156865841367,89.6866599158633,"A"
"6","SHM","Soybean-Soybean-Soybean",2,50.102482,7.69861214143423,3,25.6020622346803,74.6029017653196,"A"
"19","No cover","Corn-Soybean-Corn",2,46.5651325,9.39231580669966,3,16.6745917629109,76.4556732370891,"A"
"13","Wheat","Corn-Soybean-Corn",2,68.14187875,8.80754810083343,3,40.1123298378941,96.1714276621059,"A"
"12","Clover","Corn-Soybean-Corn",2,47.12591125,8.63529617627272,3,19.6445448387904,74.6072776612097,"A"
"9","Wheat-Clover","Corn-Soybean-Corn",2,61.5492147500001,10.0820198011174,3,29.4637280841368,93.6347014158633,"A"
"17","SHM","Corn-Soybean-Corn",2,49.43559775,7.69861214143423,3,24.9351779846803,73.9360175153197,"A"
"1","No cover","Corn-Cotton-Soybean",2,80.3811725,9.39231580669965,3,50.4906317629109,110.271713237089,"A"
"15","Wheat","Corn-Cotton-Soybean",2,66.8476545,8.80754810083342,3,38.8181055878941,94.8772034121058,"A"
"4","Clover","Corn-Cotton-Soybean",2,58.8151815,8.63529617627272,3,31.3338150887904,86.2965479112097,"A"
