"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",0.197211268333333,0.00636536259192457,3,0.176953843670872,0.217468692995795,"A"
"3","Wheat","Corn-Corn-Corn",0.201871076333333,0.0062399708195943,3,0.182012704253437,0.221729448413229,"A"
"2","Clover","Corn-Corn-Corn",0.194890227916667,0.00643000944966427,3,0.174427068100643,0.21535338773269,"A"
"5","Wheat-Clover","Corn-Corn-Corn",0.19698607475,0.00690579638461089,3,0.175008748560754,0.218963400939247,"A"
"4","SHM","Corn-Corn-Corn",0.200362458416667,0.00641489845475787,3,0.179947388530552,0.220777528302781,"A"
"10","No cover","Soybean-Soybean-Soybean",0.17903247875,0.00636536259192457,3,0.158775054087539,0.199289903412461,"A"
"9","Wheat","Soybean-Soybean-Soybean",0.1846374615,0.0062399708195943,3,0.164779089420104,0.204495833579896,"A"
"8","Clover","Soybean-Soybean-Soybean",0.18404881575,0.00643000944966427,3,0.163585655933977,0.204511975566023,"A"
"7","Wheat-Clover","Soybean-Soybean-Soybean",0.18234813825,0.00690579638461089,3,0.160370812060754,0.204325464439247,"A"
"6","SHM","Soybean-Soybean-Soybean",0.187508178583333,0.00641489845475787,3,0.167093108697219,0.207923248469448,"A"
"15","No cover","Corn-Soybean-Corn",0.192556962833333,0.00636536259192457,3,0.172299538170872,0.212814387495795,"A"
"14","Wheat","Corn-Soybean-Corn",0.19013693675,0.0062399708195943,3,0.170278564670104,0.209995308829896,"A"
"13","Clover","Corn-Soybean-Corn",0.196544461833333,0.00643000944966427,3,0.17608130201731,0.217007621649357,"A"
"12","Wheat-Clover","Corn-Soybean-Corn",0.20128923,0.00690579638461089,3,0.179311903810754,0.223266556189247,"A"
"11","SHM","Corn-Soybean-Corn",0.199766527916667,0.00641489845475787,3,0.179351458030552,0.220181597802781,"A"
"20","No cover","Corn-Cotton-Soybean",0.183087593333333,0.00636536259192457,3,0.162830168670872,0.203345017995795,"A"
"18","Wheat","Corn-Cotton-Soybean",0.186670848583333,0.0062399708195943,3,0.166812476503437,0.206529220663229,"A"
"17","Clover","Corn-Cotton-Soybean",0.179517285333333,0.00643000944966427,3,0.15905412551731,0.199980445149357,"A"
"19","Wheat-Clover","Corn-Cotton-Soybean",0.185598072083333,0.00690579638461089,3,0.163620745894087,0.20757539827258,"A"
"16","SHM","Corn-Cotton-Soybean",0.186315292583333,0.00641489845475786,3,0.165900222697219,0.206730362469448,"A"
