"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","Corn-Corn-Corn",2,6.06851699999999,0.207020532821566,3,5.40968527020414,6.72734872979585,"A"
"3","Soybean-Soybean-Soybean",2,5.61044719999999,0.207020532821566,3,4.95161547020414,6.26927892979585,"A"
"2","Corn-Soybean-Corn",2,6.0552578,0.207020532821566,3,5.39642607020414,6.71408952979585,"A"
"1","Corn-Cotton-Soybean",2,5.5368538,0.207020532821566,3,4.87802207020414,6.19568552979585,"A"
"7","Corn-Corn-Corn",3,6.85459894458055,0.215284162092826,3,6.16946865834214,7.53972923081897,"A"
"8","Soybean-Soybean-Soybean",3,6.64982510232406,0.213682519708468,3,5.96979195697413,7.32985824767399,"A"
"5","Corn-Soybean-Corn",3,6.75489999999999,0.207020532821566,3,6.09606827020414,7.41373172979585,"A"
"6","Corn-Cotton-Soybean",3,6.88985,0.207020532821566,3,6.23101827020414,7.54868172979585,"A"
"10","Corn-Corn-Corn",4,6.1838,0.207020532821566,3,5.52496827020414,6.84263172979585,"A"
"9","Soybean-Soybean-Soybean",4,5.36225,0.207020532821566,3,4.70341827020414,6.02108172979585,"A"
"12","Corn-Soybean-Corn",4,5.81845,0.207020532821566,3,5.15961827020414,6.47728172979585,"A"
"11","Corn-Cotton-Soybean",4,5.46915,0.207020532821566,3,4.81031827020414,6.12798172979585,"A"
