"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover",2,116.53670625,15.8588471727713,3,66.0667766589549,167.006635841045,"AB"
"2","Wheat",2,109.66633125,16.752301949533,3,56.3530298057117,162.979632694288,"AB"
"5","Clover",2,81.83159375,14.5862524608032,3,35.4116284981816,128.251559001818,"B"
"1","Wheat-Clover",2,106.8317875,15.4327651175356,3,57.7178411713875,155.945733828613,"AB"
"3","SHM",2,120.451725,15.3600427889987,3,71.5692135771513,169.334236422849,"A"
"10","No cover",3,91.7318750000001,15.8588471727713,3,41.261945408955,142.201804591045,"A"
"8","Wheat",3,97.1793750000001,16.752301949533,3,43.8660735557119,150.492676444288,"A"
"7","Clover",3,107.948125,14.5862524608032,3,61.5281597481816,154.368090251819,"A"
"9","Wheat-Clover",3,102.341875,15.4327651175356,3,53.2279286713875,151.455821328613,"A"
"6","SHM",3,108.95625,15.3600427889987,3,60.0737385771515,157.838761422849,"A"
"14","No cover",4,75.465,15.8588471727713,3,24.9950704089549,125.934929591045,"A"
"13","Wheat",4,77.6793750000001,16.752301949533,3,24.3660735557118,130.992676444288,"A"
"12","Clover",4,81.6600000000001,14.5862524608032,3,35.2400347481817,128.079965251818,"A"
"11","Wheat-Clover",4,87.7062500000001,15.4327651175356,3,38.5923036713875,136.820196328613,"A"
"15","SHM",4,77.82625,15.3600427889987,3,28.9437385771514,126.708761422849,"A"
