"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover","Corn-Corn-Corn",2,135.380431,18.6454698989637,3,76.0422242097643,194.718637790235,"A"
"12","Wheat","Corn-Corn-Corn",2,149.80901125,18.8602184615183,3,89.7873786902972,209.830643809703,"A"
"6","Clover","Corn-Corn-Corn",2,149.34444175,19.3427031308162,3,87.7873276371342,210.901555862865,"A"
"1","Wheat-Clover","Corn-Corn-Corn",2,143.2167705,18.071218002569,3,85.7060895357479,200.727451464252,"A"
"14","SHM","Corn-Corn-Corn",2,148.96035625,16.1289323031185,3,97.6308952337692,200.28981726623,"A"
"3","No cover","Soybean-Soybean-Soybean",2,121.481816,18.6454698989637,3,62.1436092097644,180.820022790235,"A"
"20","Wheat","Soybean-Soybean-Soybean",2,131.8230095,18.8602184615184,3,71.8013769402973,191.844642059703,"A"
"9","Clover","Soybean-Soybean-Soybean",2,109.095242,19.3427031308162,3,47.5381278871342,170.652356112866,"A"
"8","Wheat-Clover","Soybean-Soybean-Soybean",2,170.088668,18.0712180025689,3,112.577987035748,227.599348964252,"A"
"19","SHM","Soybean-Soybean-Soybean",2,139.99123275,16.1289323031185,3,88.6617717337692,191.32069376623,"A"
"18","No cover","Corn-Soybean-Corn",2,131.7494265,18.6454698989637,3,72.4112197097645,191.087633290235,"A"
"2","Wheat","Corn-Soybean-Corn",2,120.037691,18.8602184615184,3,60.0160584402973,180.059323559703,"A"
"16","Clover","Corn-Soybean-Corn",2,102.69520975,19.3427031308162,3,41.1380956371342,164.252323862866,"A"
"5","Wheat-Clover","Corn-Soybean-Corn",2,124.5995165,18.071218002569,3,67.0888355357479,182.110197464252,"A"
"17","SHM","Corn-Soybean-Corn",2,112.75944425,16.1289323031185,3,61.4299832337693,164.088905266231,"A"
"13","No cover","Corn-Cotton-Soybean",2,191.92750225,18.6454698989637,3,132.589295459764,251.265709040235,"A"
"15","Wheat","Corn-Cotton-Soybean",2,167.098133,18.8602184615184,3,107.076500440297,227.119765559703,"A"
"11","Clover","Corn-Cotton-Soybean",2,146.80678275,19.3427031308162,3,85.2496686371342,208.363896862866,"A"
"10","Wheat-Clover","Corn-Cotton-Soybean",2,141.12694525,18.071218002569,3,83.6162642857479,198.637626214252,"A"
"7","SHM","Corn-Cotton-Soybean",2,145.973543,16.1289323031185,3,94.6440819837693,197.30300401623,"A"
"38","No cover","Corn-Corn-Corn",3,100.12263375,18.6454698989637,3,40.7844269597644,159.460840540235,"A"
"29","Wheat","Corn-Corn-Corn",3,101.53535025,18.8602184615183,3,41.5137176902973,161.556982809703,"A"
