"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,145.34220215,11.8787560674259,3,107.538698791854,183.145705508146,"AB"
"1","Soybean-Soybean-Soybean",2,134.49599365,11.8787560674259,3,96.6924902918538,172.299497008146,"AB"
"4","Corn-Soybean-Corn",2,118.3682576,11.8787560674259,3,80.5647542418538,156.171760958146,"B"
"3","Corn-Cotton-Soybean",2,158.58658125,11.8787560674259,3,120.783077891854,196.390084608146,"A"
"8","Corn-Corn-Corn",3,106.72276545,11.8787560674259,3,68.9192620918537,144.526268808146,"A"
"7","Soybean-Soybean-Soybean",3,84.0705980499999,11.8787560674259,3,46.2670946918538,121.874101408146,"A"
"6","Corn-Soybean-Corn",3,97.2011560999999,11.878756067426,3,59.3976527418537,135.004659458146,"A"
"5","Corn-Cotton-Soybean",3,82.3390663499999,11.878756067426,3,44.5355629918537,120.142569708146,"A"
"10","Corn-Corn-Corn",4,160.95385,11.8787560674259,3,123.150346641854,198.757353358146,"A"
"9","Soybean-Soybean-Soybean",4,130.35085,11.8787560674259,3,92.5473466418539,168.154353358146,"A"
"12","Corn-Soybean-Corn",4,157.40965,11.8787560674259,3,119.606146641854,195.213153358146,"A"
"11","Corn-Cotton-Soybean",4,138.49825,11.8787560674259,3,100.694746641854,176.301753358146,"A"
