"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",2.74266859999999,0.291965476791878,3,1.81350414711329,3.6718330528867,"B"
"2","Wheat","Corn-Corn-Corn",3.43552556666666,0.305572259321256,3,2.46305825899254,4.40799287434079,"AB"
"4","Clover","Corn-Corn-Corn",3.55984173333333,0.299908824077885,3,2.60539800422468,4.51428546244197,"A"
"3","Wheat-Clover","Corn-Corn-Corn",3.35494149999999,0.27523813845597,3,2.47901090319763,4.23087209680236,"AB"
"1","SHM","Corn-Corn-Corn",3.6325992,0.306600061275738,3,2.65686096779326,4.60833743220673,"A"
"9","No cover","Soybean-Soybean-Soybean",2.85284449999999,0.291965476791878,3,1.92368004711329,3.7820089528867,"B"
"10","Wheat","Soybean-Soybean-Soybean",3.41454526666666,0.305572259321255,3,2.44207795899254,4.38701257434079,"AB"
"8","Clover","Soybean-Soybean-Soybean",2.92968333333333,0.299908824077885,3,1.97523960422468,3.88412706244197,"AB"
"6","Wheat-Clover","Soybean-Soybean-Soybean",3.48579783333333,0.275238138455971,3,2.60986723653096,4.3617284301357,"A"
"7","SHM","Soybean-Soybean-Soybean",2.90817069999999,0.306600061275739,3,1.93243246779326,3.88390893220673,"AB"
"11","No cover","Corn-Soybean-Corn",3.46589036666666,0.291965476791878,3,2.53672591377995,4.39505481955337,"A"
"14","Wheat","Corn-Soybean-Corn",3.17242383333333,0.305572259321256,3,2.1999565256592,4.14489114100746,"A"
"15","Clover","Corn-Soybean-Corn",3.30712406666666,0.299908824077886,3,2.35268033755801,4.26156779577531,"A"
"12","Wheat-Clover","Corn-Soybean-Corn",3.70277983333333,0.27523813845597,3,2.82684923653096,4.5787104301357,"A"
"13","SHM","Corn-Soybean-Corn",3.51263696666666,0.306600061275739,3,2.53689873445993,4.48837519887339,"A"
"16","No cover","Corn-Cotton-Soybean",2.93410339999999,0.291965476791878,3,2.00493894711329,3.8632678528867,"A"
"18","Wheat","Corn-Cotton-Soybean",3.26635066666666,0.305572259321256,3,2.29388335899253,4.23881797434079,"A"
"17","Clover","Corn-Cotton-Soybean",2.81862733333333,0.299908824077885,3,1.86418360422468,3.77307106244198,"A"
"20","Wheat-Clover","Corn-Cotton-Soybean",3.07582733333333,0.275238138455971,3,2.19989673653096,3.9517579301357,"A"
"19","SHM","Corn-Cotton-Soybean",2.90570683333333,0.306600061275738,3,1.9299686011266,3.88144506554006,"A"
