"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,3.46739595999999,0.303214549816623,3,2.50243193622782,4.43235998377217,"A"
"1","Soybean-Soybean-Soybean",2,3.29692497999999,0.303214549816624,3,2.33196095622782,4.26188900377217,"A"
"4","Corn-Soybean-Corn",2,3.85336303999999,0.303214549816624,3,2.88839901622782,4.81832706377217,"A"
"3","Corn-Cotton-Soybean",2,3.28771933999999,0.303214549816624,3,2.32275531622782,4.25268336377217,"A"
"8","Corn-Corn-Corn",3,4.13805,0.303214549816624,3,3.17308597622782,5.10301402377217,"A"
"7","Soybean-Soybean-Soybean",3,3.74464999999999,0.303214549816623,3,2.77968597622782,4.70961402377217,"A"
"6","Corn-Soybean-Corn",3,3.84344999999999,0.303214549816625,3,2.87848597622781,4.80841402377217,"A"
"5","Corn-Cotton-Soybean",3,3.5748,0.303214549816624,3,2.60983597622782,4.53976402377217,"A"
"10","Corn-Corn-Corn",4,2.4299,0.303214549816624,3,1.46493597622782,3.39486402377217,"A"
"9","Soybean-Soybean-Soybean",4,2.31305,0.303214549816624,3,1.34808597622782,3.27801402377217,"A"
"12","Corn-Soybean-Corn",4,2.5997,0.303214549816624,3,1.63473597622782,3.56466402377217,"A"
"11","Corn-Cotton-Soybean",4,2.13784999999999,0.303214549816625,3,1.17288597622781,3.10281402377217,"A"
