"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","Corn-Corn-Corn",2,9.8755620631,2.37421680410503,3,2.31974456693346,17.4313795592665,"A"
"4","Soybean-Soybean-Soybean",2,11.64410296545,2.37421680410503,3,4.08828546928344,19.1999204616165,"A"
"1","Corn-Soybean-Corn",2,11.3310740773,2.37421680410502,3,3.77525658113347,18.8868915734665,"A"
"2","Corn-Cotton-Soybean",2,9.5752376326,2.37421680410502,3,2.01942013643347,17.1310551287665,"A"
"6","Corn-Corn-Corn",3,11.437775,2.37421680410503,3,3.88195750383346,18.9935924961665,"A"
"5","Soybean-Soybean-Soybean",3,19.998025,2.37421680410503,3,12.4422075038334,27.5538424961665,"A"
"8","Corn-Soybean-Corn",3,19.458025,2.37421680410502,3,11.9022075038335,27.0138424961665,"A"
"7","Corn-Cotton-Soybean",3,13.4554,2.37421680410503,3,5.89958250383346,21.0112174961665,"A"
"11","Corn-Corn-Corn",4,20.70691666985,2.37421680410503,3,13.1510991736835,28.2627341660165,"A"
"12","Soybean-Soybean-Soybean",4,25.2195416697,2.37421680410502,3,17.6637241735335,32.7753591658665,"A"
"9","Corn-Soybean-Corn",4,21.4514582792054,2.48062692292619,3,13.5569962935516,29.3459202648591,"A"
"10","Corn-Cotton-Soybean",4,18.2834166694,2.37421680410503,3,10.7275991732335,25.8392341655666,"A"
