"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"10","Wheat","Corn-Corn-Corn",2,2.81195,0.3370920631843,3,1.73917260897866,3.88472739102133,"AB"
"9","Clover","Corn-Corn-Corn",2,0.436899999999996,0.30208523640116,3,-0.52447004446563,1.39827004446562,"CDEF"
"14","Wheat-Clover","Corn-Corn-Corn",2,2.73294999999999,0.362225050731696,3,1.5801882256177,3.88571177438229,"AB"
"7","SHM","Corn-Corn-Corn",2,1.5502,0.236709768807937,3,0.796883870832617,2.30351612916738,"ABCDEF"
"8","Wheat","Soybean-Soybean-Soybean",2,2.5599,0.3370920631843,3,1.48712260897866,3.63267739102133,"A"
"13","Clover","Soybean-Soybean-Soybean",2,0.228149999999996,0.302085236401159,3,-0.733220044465627,1.18952004446562,"CDEF"
"4","Wheat-Clover","Soybean-Soybean-Soybean",2,1.82239999999999,0.362225050731696,3,0.669638225617704,2.97516177438229,"ABCDEF"
"5","SHM","Soybean-Soybean-Soybean",2,1.02745,0.236709768807937,3,0.274133870832619,1.78076612916738,"BCDEF"
"2","Wheat","Corn-Soybean-Corn",2,2.61565,0.3370920631843,3,1.54287260897866,3.68842739102134,"AB"
"1","Clover","Corn-Soybean-Corn",2,0.187649999999997,0.302085236401159,3,-0.773720044465628,1.14902004446562,"EF"
"12","Wheat-Clover","Corn-Soybean-Corn",2,2.2726,0.362225050731697,3,1.1198382256177,3.42536177438229,"ABCD"
"11","SHM","Corn-Soybean-Corn",2,1.2246,0.236709768807937,3,0.47128387083262,1.97791612916738,"ABCDEF"
"6","Wheat","Corn-Cotton-Soybean",2,2.79025,0.3370920631843,3,1.71747260897866,3.86302739102134,"AB"
"3","Clover","Corn-Cotton-Soybean",2,0.351249999999997,0.30208523640116,3,-0.610120044465629,1.31262004446562,"DF"
"16","Wheat-Clover","Corn-Cotton-Soybean",2,2.26585,0.362225050731697,3,1.1130882256177,3.41861177438229,"ABCE"
"15","SHM","Corn-Cotton-Soybean",2,1.5368,0.236709768807937,3,0.783483870832618,2.29011612916738,"ABCDEF"
"24","Wheat","Corn-Corn-Corn",3,1.0979,0.3370920631843,3,0.0251226089786591,2.17067739102134,"A"
"21","Clover","Corn-Corn-Corn",3,2.5353,0.302085236401159,3,1.57392995553437,3.49667004446562,"A"
"32","Wheat-Clover","Corn-Corn-Corn",3,2.07355,0.362225050731697,3,0.920788225617707,3.22631177438229,"A"
"23","SHM","Corn-Corn-Corn",3,1.7528,0.236709768807937,3,0.999483870832621,2.50611612916738,"A"
"18","Wheat","Soybean-Soybean-Soybean",3,1.6291,0.3370920631843,3,0.556322608978659,2.70187739102134,"A"
"25","Clover","Soybean-Soybean-Soybean",3,3.06605,0.302085236401159,3,2.10467995553438,4.02742004446562,"A"
"20","Wheat-Clover","Soybean-Soybean-Soybean",3,2.52575,0.362225050731697,3,1.37298822561771,3.67851177438229,"A"
"17","SHM","Soybean-Soybean-Soybean",3,2.59795,0.236709768807937,3,1.84463387083262,3.35126612916738,"A"
"22","Wheat","Corn-Soybean-Corn",3,1.0411,0.3370920631843,3,-0.0316773910213404,2.11387739102134,"A"
"28","Clover","Corn-Soybean-Corn",3,2.22415,0.30208523640116,3,1.26277995553437,3.18552004446562,"A"
"30","Wheat-Clover","Corn-Soybean-Corn",3,1.88225,0.362225050731697,3,0.729488225617704,3.03501177438229,"A"
"26","SHM","Corn-Soybean-Corn",3,1.95335,0.236709768807937,3,1.20003387083262,2.70666612916738,"A"
"31","Wheat","Corn-Cotton-Soybean",3,1.2651,0.3370920631843,3,0.19232260897866,2.33787739102134,"A"
