"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"6","No cover","Corn-Corn-Corn",10.168896925,0.686505188129405,3,7.98413102547948,12.3536628245205,"BC"
"9","Wheat","Corn-Corn-Corn",10.028919825,0.76647361638197,3,7.58965869644776,12.4681809535522,"ABC"
"8","Clover","Corn-Corn-Corn",10.034255275,0.675242067120427,3,7.88533365332047,12.1831768966795,"BC"
"10","Wheat-Clover","Corn-Corn-Corn",9.785686075,0.689776877675008,3,7.59050819917304,11.980863950827,"C"
"7","SHM","Corn-Corn-Corn",10.186472525,0.679979815667673,3,8.02247327296092,12.3504717770391,"BC"
"1","No cover","Corn-Soybean-Corn",11.3036216,0.686505188129405,3,9.11885570047948,13.4883874995205,"ABC"
"5","Wheat","Corn-Soybean-Corn",11.25811335,0.76647361638197,3,8.81885222144776,13.6973744785522,"ABC"
"3","Clover","Corn-Soybean-Corn",11.463528175,0.675242067120427,3,9.31460655332047,13.6124497966795,"ABC"
"2","Wheat-Clover","Corn-Soybean-Corn",11.583732725,0.689776877675008,3,9.38855484917304,13.778910600827,"AB"
"4","SHM","Corn-Soybean-Corn",12.04775995,0.679979815667672,3,9.88376069796092,14.2117592020391,"A"
