"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover",2,11.705825,1.00125910565211,3,8.51937165858575,14.8922783414142,"A"
"3","Wheat",2,12.39919375,0.888532459435333,3,9.57148690734536,15.2269005926546,"A"
"2","Clover",2,12.14665625,0.848845325071609,3,9.4452515814685,14.8480609185315,"A"
"4","Wheat-Clover",2,12.30608125,0.755517115714047,3,9.90168859651721,14.7104739034828,"A"
"1","SHM",2,14.16180625,1.00467020571696,3,10.9644972657874,17.3591152342126,"A"
"8","No cover",3,10.10118125,1.00125910565211,3,6.91472790858576,13.2876345914142,"A"
"9","Wheat",3,10.45988125,0.888532459435338,3,7.63217440734535,13.2875880926546,"A"
"6","Clover",3,12.023525,0.84884532507161,3,9.3221203314685,14.7249296685315,"A"
"7","Wheat-Clover",3,11.63100625,0.755517115714051,3,9.2266135965172,14.0353989034828,"A"
"10","SHM",3,11.3871625,1.00467020571696,3,8.18985351578742,14.5844714842126,"A"
"13","No cover",4,13.98384375,1.00125910565211,3,10.7973904085858,17.1702970914142,"A"
"15","Wheat",4,12.77045625,0.888532459435331,3,9.94274940734537,15.5981630926546,"A"
"11","Clover",4,14.8775375,0.848845325071603,3,12.1761328314685,17.5789421685315,"A"
"14","Wheat-Clover",4,14.39434375,0.755517115714046,3,11.9899510965172,16.7987364034828,"A"
"12","SHM",4,15.765725,1.00467020571696,3,12.5684160157874,18.9630339842125,"A"
