"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,12.13007,0.958654376406238,3,9.0792039217619,15.1809360782381,"A"
"1","Soybean-Soybean-Soybean",2,12.815635,0.958654376406239,3,9.7647689217619,15.8665010782381,"A"
"4","Corn-Soybean-Corn",2,11.493475,0.958654376406239,3,8.4426089217619,14.5443410782381,"A"
"3","Corn-Cotton-Soybean",2,13.73647,0.958654376406239,3,10.6856039217619,16.7873360782381,"A"
"6","Corn-Corn-Corn",3,9.38845499999998,0.95865437640624,3,6.33758892176189,12.4393210782381,"BC"
"5","Soybean-Soybean-Soybean",3,13.607915,0.958654376406241,3,10.5570489217619,16.6587810782381,"AB"
"8","Corn-Soybean-Corn",3,14.753855,0.958654376406243,3,11.7029889217619,17.8047210782381,"A"
"7","Corn-Cotton-Soybean",3,6.73197999999999,0.958654376406244,3,3.68111392176188,9.7828460782381,"C"
"12","Corn-Corn-Corn",4,13.131625,0.958654376406238,3,10.0807589217619,16.1824910782381,"AB"
"11","Soybean-Soybean-Soybean",4,16.549865,0.958654376406241,3,13.4989989217619,19.6007310782381,"A"
"10","Corn-Soybean-Corn",4,12.06741,0.958654376406235,3,9.01654392176191,15.1182760782381,"B"
"9","Corn-Cotton-Soybean",4,15.684625,0.958654376406236,3,12.6337589217619,18.7354910782381,"AB"
