"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover","Corn-Corn-Corn",2,0.0801182560000013,0.0645093399448323,3,-0.125179254563721,0.285415766563724,"HBHC"
"1","Wheat","Corn-Corn-Corn",2,1.218078988,0.154735425278779,3,0.725641805525045,1.71051617047495,"AB"
"9","Clover","Corn-Corn-Corn",2,0.231976261500001,0.118498937953708,3,-0.145140245770821,0.609092768770824,"CDEFGHAHBHC"
"6","Wheat-Clover","Corn-Corn-Corn",2,1.1686638,0.161669791426582,3,0.654158369598489,1.68316923040152,"AB"
"10","SHM","Corn-Corn-Corn",2,0.678585517500001,0.0988003587637123,3,0.36415868079172,0.993012354208282,"ABCDEFGHA"
"4","No cover","Soybean-Soybean-Soybean",2,0.117306937000001,0.0645093399448322,3,-0.0879905735637211,0.322604447563723,"HC"
"8","Wheat","Soybean-Soybean-Soybean",2,1.132562495,0.154735425278779,3,0.640125312525047,1.62499967747495,"AC"
"7","Clover","Soybean-Soybean-Soybean",2,0.133798418500001,0.118498937953708,3,-0.243318088770822,0.510914925770823,"EFGHAHBHC"
"3","Wheat-Clover","Soybean-Soybean-Soybean",2,0.805596623,0.161669791426582,3,0.291091192598486,1.32010205340151,"ABCDEFGHAHB"
"5","SHM","Soybean-Soybean-Soybean",2,0.449580606,0.0988003587637123,3,0.135153769291719,0.764007442708281,"BDEFGHAHBHC"
"12","No cover","Corn-Soybean-Corn",2,0.144371401500001,0.0645093399448323,3,-0.0609261090637213,0.349668912063723,"HAHBHC"
"11","Wheat","Corn-Soybean-Corn",2,1.120860231,0.154735425278779,3,0.628423048525045,1.61329741347495,"ABCD"
"14","Clover","Corn-Soybean-Corn",2,0.169650342500001,0.118498937953708,3,-0.207466164770822,0.546766849770823,"GHAHBHC"
"13","Wheat-Clover","Corn-Soybean-Corn",2,0.993688350000001,0.161669791426582,3,0.479182919598487,1.50819378040152,"ABCDEF"
"20","SHM","Corn-Soybean-Corn",2,0.541445376,0.0988003587637124,3,0.227018539291719,0.855872212708282,"ABCDEFGHAHBHC"
"17","No cover","Corn-Cotton-Soybean",2,0.0976690890000009,0.0645093399448323,3,-0.107628421563721,0.302966599563723,"HBHC"
"16","Wheat","Corn-Cotton-Soybean",2,1.1775936075,0.154735425278779,3,0.685156425025046,1.67003078997495,"AB"
"19","Clover","Corn-Cotton-Soybean",2,0.179872393500001,0.118498937953708,3,-0.197244113770822,0.556988900770823,"FHAHBHC"
"18","Wheat-Clover","Corn-Cotton-Soybean",2,0.976863975000001,0.161669791426582,3,0.462358544598487,1.49136940540151,"ABCDEG"
"15","SHM","Corn-Cotton-Soybean",2,0.66341244,0.0988003587637123,3,0.348985603291719,0.977839276708281,"ABCDEFGHA"
"29","No cover","Corn-Corn-Corn",3,0.178429743000001,0.0645093399448323,3,-0.0268677675637215,0.383727253563723,"D"
"39","Wheat","Corn-Corn-Corn",3,0.454353466000002,0.154735425278779,3,-0.0380837164749521,0.946790648474955,"ABCD"
"31","Clover","Corn-Corn-Corn",3,1.0498655545,0.118498937953708,3,0.672749047229178,1.42698206177082,"A"
"27","Wheat-Clover","Corn-Corn-Corn",3,0.840706446000002,0.161669791426582,3,0.326201015598488,1.35521187640152,"ABC"
"34","SHM","Corn-Corn-Corn",3,0.725087858,0.0988003587637124,3,0.410661021291719,1.03951469470828,"AB"
"30","No cover","Soybean-Soybean-Soybean",3,0.184746525000001,0.0645093399448322,3,-0.0205509855637211,0.390044035563723,"CD"
"24","Wheat","Soybean-Soybean-Soybean",3,0.665184154,0.154735425278779,3,0.172746971525047,1.15762133647495,"ABCD"
"36","Clover","Soybean-Soybean-Soybean",3,1.2777147525,0.118498937953708,3,0.900598245229178,1.65483125977082,"A"
"21","Wheat-Clover","Soybean-Soybean-Soybean",3,1.0604556665,0.161669791426582,3,0.545950236098487,1.57496109690152,"A"
"26","SHM","Soybean-Soybean-Soybean",3,1.0536040755,0.0988003587637123,3,0.739177238791719,1.36803091220828,"A"
"23","No cover","Corn-Soybean-Corn",3,0.208561338500001,0.0645093399448323,3,0.00326382793627872,0.413858849063723,"BCD"
"33","Wheat","Corn-Soybean-Corn",3,0.4757418885,0.154735425278779,3,-0.0166952939749535,0.968179070974953,"ABCD"
"32","Clover","Corn-Soybean-Corn",3,0.922766967,0.118498937953708,3,0.545650459729178,1.29988347427082,"A"
"25","Wheat-Clover","Corn-Soybean-Corn",3,0.821696737000001,0.161669791426582,3,0.307191306598487,1.33620216740152,"ABCD"
"40","SHM","Corn-Soybean-Corn",3,0.7912084825,0.0988003587637122,3,0.476781645791719,1.10563531920828,"A"
"28","No cover","Corn-Cotton-Soybean",3,0.176684431000001,0.0645093399448322,3,-0.0286130795637211,0.381981941563723,"CD"
"38","Wheat","Corn-Cotton-Soybean",3,0.5005138475,0.154735425278779,3,0.008076665025046,0.992951029974954,"ABCD"
"37","Clover","Corn-Cotton-Soybean",3,0.908897106,0.118498937953708,3,0.531780598729177,1.28601361327082,"A"
"22","Wheat-Clover","Corn-Cotton-Soybean",3,1.0434184305,0.161669791426582,3,0.528913000098487,1.55792386090152,"A"
"35","SHM","Corn-Cotton-Soybean",3,0.821456905,0.0988003587637123,3,0.507030068291719,1.13588374170828,"A"
"47","No cover","Corn-Corn-Corn",4,0.159971185000001,0.0645093399448322,3,-0.0453263255637211,0.365268695563723,"A"
"55","Wheat","Corn-Corn-Corn",4,0.2988735395,0.154735425278779,3,-0.193563642974954,0.791310721974953,"A"
"60","Clover","Corn-Corn-Corn",4,0.222123352000001,0.118498937953708,3,-0.154993155270822,0.599239859270824,"A"
"53","Wheat-Clover","Corn-Corn-Corn",4,0.417786275000002,0.161669791426582,3,-0.0967191554015127,0.932291705401516,"A"
"48","SHM","Corn-Corn-Corn",4,0.3319698335,0.0988003587637123,3,0.0175429967917193,0.646396670208282,"A"
"52","No cover","Soybean-Soybean-Soybean",4,0.153406856000001,0.0645093399448323,3,-0.0518906545637214,0.358704366563723,"A"
"41","Wheat","Soybean-Soybean-Soybean",4,0.451509790499999,0.154735425278779,3,-0.0409273919749537,0.943946972974952,"A"
"45","Clover","Soybean-Soybean-Soybean",4,0.3457878055,0.118498937953708,3,-0.0313287017708215,0.722904312770822,"A"
"57","Wheat-Clover","Soybean-Soybean-Soybean",4,0.464559887500001,0.161669791426582,3,-0.0499455429015134,0.979065317901515,"A"
"51","SHM","Soybean-Soybean-Soybean",4,0.419155138500001,0.0988003587637123,3,0.104728301791719,0.733581975208282,"A"
"50","No cover","Corn-Soybean-Corn",4,0.224643357500001,0.0645093399448323,3,0.0193458469362787,0.429940868063723,"A"
