"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover",2,0.109866420875001,0.0362311865814941,3,-0.00543738499731949,0.225170226747322,"C"
"1","Wheat",2,1.162273830375,0.0791081418384017,3,0.910516416663518,1.41403124408648,"A"
"4","Clover",2,0.178824354000001,0.0615047536383389,3,-0.0169112219737155,0.374559929973717,"C"
"3","Wheat-Clover",2,0.986203187000001,0.0825022151887584,3,0.723644317094815,1.24876205690519,"A"
"5","SHM",2,0.583255984875001,0.0520837102080211,3,0.417502373758016,0.749009595991985,"B"
"8","No cover",3,0.187105509375001,0.0362311865814941,3,0.0718017035026804,0.302409315247321,"C"
"9","Wheat",3,0.523948339,0.0791081418384018,3,0.272190925288519,0.775705752711482,"B"
"6","Clover",3,1.039811095,0.061504753638339,3,0.844075519026284,1.23554667097372,"A"
"7","Wheat-Clover",3,0.941569320000001,0.0825022151887585,3,0.679010450094816,1.20412818990519,"A"
"10","SHM",3,0.84783933025,0.0520837102080211,3,0.682085719133016,1.01359294136698,"A"
"14","No cover",4,0.154488774375001,0.0362311865814941,3,0.0391849685026804,0.269792580247321,"B"
"12","Wheat",4,0.336940766874999,0.0791081418384019,3,0.0851833531635179,0.588698180586481,"AB"
"15","Clover",4,0.302506099750001,0.0615047536383389,3,0.106770523776284,0.498241675723717,"AB"
"11","Wheat-Clover",4,0.431158101000001,0.0825022151887584,3,0.168599231094815,0.693716970905187,"A"
"13","SHM",4,0.392921992375,0.0520837102080212,3,0.227168381258016,0.558675603491985,"A"
