"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"17","No cover","Corn-Corn-Corn",2,3.76550550000001,2.452473903567,3,-4.03936101321151,11.5703720132115,"GHAHBHC"
"8","Wheat","Corn-Corn-Corn",2,41.8862845,6.96471235996428,3,19.7214613826679,64.0511076173321,"A"
"5","Clover","Corn-Corn-Corn",2,14.163782,9.10865866409637,3,-14.8240351116439,43.151599111644,"ABCDEFGHAHBHC"
"6","Wheat-Clover","Corn-Corn-Corn",2,43.9917269999998,8.34462260933873,3,17.4354136079229,70.5480403920768,"ABCDEF"
"3","SHM","Corn-Corn-Corn",2,37.1791625,6.48229628014544,3,16.5496026534968,57.8087223465032,"AB"
"4","No cover","Soybean-Soybean-Soybean",2,4.8032615,2.452473903567,3,-3.00160501321151,12.6081280132115,"CDEFGHAHBHC"
"16","Wheat","Soybean-Soybean-Soybean",2,45.482088,6.96471235996428,3,23.3172648826679,67.6469111173321,"A"
"2","Clover","Soybean-Soybean-Soybean",2,6.99039899999999,9.1086586640964,3,-21.997418111644,35.978216111644,"ABCDEFGHAHBHC"
"15","Wheat-Clover","Soybean-Soybean-Soybean",2,31.381156,8.34462260933875,3,4.82484260792297,57.937469392077,"ABCDEFGHAHBHC"
"20","SHM","Soybean-Soybean-Soybean",2,22.7408635,6.48229628014544,3,2.11130365349683,43.3704233465032,"ABCDEFGHAHBHC"
"12","No cover","Corn-Soybean-Corn",2,6.223821,2.452473903567,3,-1.58104551321151,14.0286875132115,"BDFHAHC"
"11","Wheat","Corn-Soybean-Corn",2,42.6335205,6.96471235996428,3,20.4686973826679,64.7983436173321,"A"
"14","Clover","Corn-Soybean-Corn",2,7.39863899999997,9.10865866409641,3,-21.5891781116441,36.386456111644,"ABCDEFGHAHBHC"
"13","Wheat-Clover","Corn-Soybean-Corn",2,41.0900334999999,8.34462260933875,3,14.533720107923,67.6463468920769,"ACEGHB"
"9","SHM","Corn-Soybean-Corn",2,28.013837,6.48229628014544,3,7.38427715349683,48.6433968465032,"ABCDEFGHAHBHC"
"7","No cover","Corn-Cotton-Soybean",2,4.602435,2.452473903567,3,-3.20243151321151,12.4073015132115,"EFHBHC"
"1","Wheat","Corn-Cotton-Soybean",2,50.873651,6.96471235996427,3,28.7088278826679,73.0384741173321,"A"
"19","Clover","Corn-Cotton-Soybean",2,11.251074,9.1086586640964,3,-17.736743111644,40.238891111644,"ABCDEFGHAHBHC"
"18","Wheat-Clover","Corn-Cotton-Soybean",2,39.4742489999999,8.34462260933875,3,12.9179356079229,66.0305623920769,"ABCDGHA"
"10","SHM","Corn-Cotton-Soybean",2,35.6751055,6.48229628014544,3,15.0455456534968,56.3046653465032,"ABCDGHA"
"28","No cover","Corn-Corn-Corn",3,6.05735400000003,2.452473903567,3,-1.74751251321148,13.8622205132115,"HHHCHHHDHHHEHHHFHHHGHHHHAHHHHBHHHHC"
"40","Wheat","Corn-Corn-Corn",3,13.3266850000001,6.96471235996428,3,-8.83813811733199,35.4915081173322,"EFGHAHFHGHHAHHBHHCHHDHHEHHFHHGHHHAHHHBHHHCHHHDHHHEHHHFHHHGHHHHAHHHHBHHHHC"
"26","Clover","Corn-Corn-Corn",3,62.9599275,9.1086586640964,3,33.972110388356,91.947744611644,"ABCDHBHCHDHE"
"35","Wheat-Clover","Corn-Corn-Corn",3,37.0474855,8.34462260933875,3,10.4911721079229,63.603798892077,"ABCDEFGHAHBHCHDHEHFHGHHAHHBHHCHHDHHEHHFHHGHHHAHHHB"
"34","SHM","Corn-Corn-Corn",3,37.8947815,6.48229628014544,3,17.2652216534968,58.5243413465032,"ABCDEFGHAHBHCHDHEHFHGHHAHHBHHCHHDHHEHHFHHGHHHAHHHB"
"23","No cover","Soybean-Soybean-Soybean",3,6.7370575,2.452473903567,3,-1.0678090132115,14.5419240132115,"HHFHHGHHHAHHHBHHHFHHHGHHHHBHHHHC"
"29","Wheat","Soybean-Soybean-Soybean",3,19.289726,6.96471235996427,3,-2.87509711733203,41.4545491173321,"BDFHAHCHEHGHHBHHCHHDHHEHHFHHGHHHAHHHBHHHCHHHDHHHEHHHFHHHGHHHHAHHHHBHHHHC"
"21","Clover","Soybean-Soybean-Soybean",3,74.508463,9.10865866409639,3,45.520645888356,103.496280111644,"A"
"27","Wheat-Clover","Soybean-Soybean-Soybean",3,38.642169,8.34462260933874,3,12.085855607923,65.1984823920769,"ABCDEFGHAHBHCHDHEHFHGHHAHHBHHCHHDHHEHHHCHHHDHHHEHHHHA"
"32","SHM","Soybean-Soybean-Soybean",3,56.5316775,6.48229628014544,3,35.9021176534968,77.1612373465032,"ACEGHBHDHFHHA"
"33","No cover","Corn-Soybean-Corn",3,8.659985,2.452473903567,3,0.85511848678848,16.4648515132115,"HHCHHEHHGHHHBHHHDHHHGHHHHAHHHHC"
"30","Wheat","Corn-Soybean-Corn",3,12.7915715000001,6.96471235996429,3,-9.37325161733206,34.9563946173322,"HBHCHDHEHFHGHHAHHBHHCHHDHHEHHFHHGHHHAHHHBHHHCHHHDHHHEHHHFHHHGHHHHAHHHHBHHHHC"
