"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover",2,4.84875575,1.4695274956917,3,0.172063400823146,9.52544809917686,"C"
"1","Wheat",2,45.218886,3.57528440308382,3,33.8407353610674,56.5970366389326,"A"
"4","Clover",2,9.9509735,4.62577233156034,3,-4.77029856565781,24.6722455656578,"C"
"3","Wheat-Clover",2,38.9842913749999,4.25018065754226,3,25.4583196446163,52.5102631053836,"AB"
"5","SHM",2,30.902242125,3.34079261023061,3,20.2703490258525,41.5341352241475,"B"
"8","No cover",3,7.24142525000001,1.4695274956917,3,2.56473290082315,11.9181175991769,"C"
"10","Wheat",3,15.0417368750001,3.57528440308382,3,3.6635862360675,26.4198875139326,"C"
"6","Clover",3,63.779519375,4.62577233156034,3,49.0582473093422,78.5007914406578,"A"
"9","Wheat-Clover",3,38.532477,4.25018065754227,3,25.0065052696163,52.0584487303836,"B"
"7","SHM",3,45.066777125,3.34079261023061,3,34.4348840258524,55.6986702241475,"B"
"15","No cover",4,7.29739,1.4695274956917,3,2.62069765082315,11.9740823491769,"C"
"14","Wheat",4,13.7202797500001,3.57528440308381,3,2.34212911106751,25.0984303889326,"BC"
"13","Clover",4,21.369722625,4.62577233156034,3,6.64845055934217,36.0909946906578,"AB"
"12","Wheat-Clover",4,24.687435625,4.25018065754227,3,11.1614638946163,38.2134073553837,"AB"
"11","SHM",4,29.1098545,3.34079261023061,3,18.4779614008525,39.7417475991475,"A"
