"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","Corn-Corn-Corn",2,28.1972923,3.26577306478834,3,17.8041448760693,38.5904397239307,"A"
"4","Soybean-Soybean-Soybean",2,22.2795536,3.26577306478834,3,11.8864061760693,32.6727010239307,"A"
"1","Corn-Soybean-Corn",2,25.0719702,3.26577306478834,3,14.6788227760693,35.4651176239307,"A"
"2","Corn-Cotton-Soybean",2,28.3753029,3.26577306478834,3,17.9821554760693,38.7684503239307,"A"
"8","Corn-Corn-Corn",3,31.4572467,3.26577306478835,3,21.0640992760693,41.8503941239307,"A"
"7","Soybean-Soybean-Soybean",3,39.1418186,3.26577306478834,3,28.7486711760693,49.5349660239307,"A"
"6","Corn-Soybean-Corn",3,29.1575161,3.26577306478835,3,18.7643686760693,39.5506635239307,"A"
"5","Corn-Cotton-Soybean",3,35.9729671,3.26577306478834,3,25.5798196760693,46.3661145239307,"A"
"10","Corn-Corn-Corn",4,16.5132656,3.26577306478834,3,6.12011817606929,26.9064130239307,"A"
"9","Soybean-Soybean-Soybean",4,20.8367152,3.26577306478834,3,10.4435677760693,31.2298626239307,"A"
"12","Corn-Soybean-Corn",4,20.7763388,3.26577306478835,3,10.3831913760693,31.1694862239307,"A"
"11","Corn-Cotton-Soybean",4,18.8214264,3.26577306478835,3,8.42827897606927,29.2145738239307,"A"
