"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover",2,0.44255556808073,0.0158066171701033,3,0.392251857668701,0.492859278492759,"B"
"3","Wheat",2,0.578232287708449,0.0194831211335996,3,0.51622830084143,0.640236274575468,"A"
"2","Clover",2,0.408533195361006,0.0251655171635849,3,0.328445288243201,0.488621102478811,"B"
"1","Wheat-Clover",2,0.543505448975711,0.0233410649967327,3,0.469223762915472,0.61778713503595,"A"
"5","SHM",2,0.523731723399055,0.0165959397444699,3,0.470916036276556,0.576547410521554,"A"
"10","No cover",3,0.359915881748067,0.0158066171701033,3,0.309612171336038,0.410219592160096,"C"
"8","Wheat",3,0.359769100762242,0.0194831211335996,3,0.297765113895223,0.421773087629261,"C"
"7","Clover",3,0.637624773710923,0.025165517163585,3,0.557536866593119,0.717712680828728,"A"
"9","Wheat-Clover",3,0.525293232020652,0.0233410649967327,3,0.451011545960414,0.599574918080891,"B"
"6","SHM",3,0.566952435599146,0.0165959397444699,3,0.514136748476646,0.619768122721645,"AB"
"14","No cover",4,0.462618526312258,0.0158066171701033,3,0.412314815900229,0.512922236724287,"B"
"15","Wheat",4,0.435002408153017,0.0194831211335995,3,0.372998421285998,0.497006395020035,"B"
"13","Clover",4,0.478710667561287,0.0251655171635849,3,0.398622760443483,0.558798574679092,"AB"
"11","Wheat-Clover",4,0.505459982397556,0.0233410649967327,3,0.431178296337317,0.579741668457794,"AB"
"12","SHM",4,0.538613876034015,0.0165959397444699,3,0.485798188911516,0.591429563156515,"A"
