"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,0.4525,0.0437970541255313,3,0.313118226915892,0.591881773084108,"A"
"1","Soybean-Soybean-Soybean",2,0.448333333333333,0.0437970541255313,3,0.308951560249226,0.587715106417441,"A"
"4","Corn-Soybean-Corn",2,0.398333333333333,0.0437970541255314,3,0.258951560249225,0.537715106417441,"A"
"3","Corn-Cotton-Soybean",2,0.48,0.0437970541255313,3,0.340618226915892,0.619381773084108,"A"
"8","Corn-Corn-Corn",3,0.463333333333333,0.0437970541255313,3,0.323951560249226,0.602715106417441,"A"
"7","Soybean-Soybean-Soybean",3,0.536666666666667,0.0437970541255313,3,0.397284893582559,0.676048439750775,"A"
"6","Corn-Soybean-Corn",3,0.403333333333333,0.0437970541255314,3,0.263951560249226,0.542715106417441,"A"
"5","Corn-Cotton-Soybean",3,0.491666666666667,0.0437970541255313,3,0.352284893582559,0.631048439750774,"A"
"11","Corn-Corn-Corn",4,0.468333333333333,0.0437970541255313,3,0.328951560249226,0.607715106417441,"A"
"12","Soybean-Soybean-Soybean",4,0.476666666666667,0.0437970541255314,3,0.337284893582559,0.616048439750775,"A"
"9","Corn-Soybean-Corn",4,0.51,0.0437970541255314,3,0.370618226915892,0.649381773084108,"A"
"10","Corn-Cotton-Soybean",4,0.505,0.0437970541255314,3,0.365618226915892,0.644381773084108,"A"
