"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover","Corn-Corn-Corn",0.427321290200232,0.0378703410225636,3,0.30680096333314,0.547841617067323,"A"
"3","Wheat","Corn-Corn-Corn",0.421871372677601,0.0378703410225636,3,0.301351045810509,0.542391699544692,"A"
"2","Clover","Corn-Corn-Corn",0.455770593325325,0.0378703410225636,3,0.335250266458233,0.576290920192417,"A"
"1","Wheat-Clover","Corn-Corn-Corn",0.441150164207052,0.0378703410225636,3,0.32062983733996,0.561670491074144,"A"
"5","SHM","Corn-Corn-Corn",0.439954008797171,0.0378703410225636,3,0.319433681930079,0.560474335664262,"A"
"7","No cover","Soybean-Soybean-Soybean",0.462634628446579,0.0430185398861559,3,0.325730435127183,0.599538821765976,"A"
"6","Wheat","Soybean-Soybean-Soybean",0.416763155992307,0.0430185398861559,3,0.279858962672911,0.553667349311704,"A"
"10","Clover","Soybean-Soybean-Soybean",0.415061381535532,0.0430185398861558,3,0.278157188216135,0.551965574854928,"A"
"9","Wheat-Clover","Soybean-Soybean-Soybean",0.435707940323115,0.0430185398861558,3,0.298803747003718,0.572612133642511,"A"
"8","SHM","Soybean-Soybean-Soybean",0.470005013377094,0.0430185398861558,3,0.333100820057698,0.606909206696491,"A"
"12","No cover","Corn-Soybean-Corn",0.449424597289747,0.0393978618299885,3,0.324043017472822,0.574806177106672,"AB"
"11","Wheat","Corn-Soybean-Corn",0.411477108531562,0.0393978618299886,3,0.286095528714637,0.536858688348488,"AB"
"14","Clover","Corn-Soybean-Corn",0.46522395888215,0.0393978618299886,3,0.339842379065225,0.590605538699075,"A"
"13","Wheat-Clover","Corn-Soybean-Corn",0.372131666471342,0.0393978618299886,3,0.246750086654416,0.497513246288267,"B"
"15","SHM","Corn-Soybean-Corn",0.445260504041086,0.0393978618299886,3,0.319878924224161,0.570642083858011,"AB"
"20","No cover","Corn-Cotton-Soybean",0.45513661727862,0.0503754361096991,3,0.294819496754253,0.615453737802988,"A"
"18","Wheat","Corn-Cotton-Soybean",0.468452624116711,0.0503754361096991,3,0.308135503592343,0.628769744641078,"A"
"17","Clover","Corn-Cotton-Soybean",0.485810922859103,0.0503754361096991,3,0.325493802334736,0.646128043383471,"A"
"19","Wheat-Clover","Corn-Cotton-Soybean",0.469742070623966,0.0503754361096991,3,0.309424950099599,0.630059191148333,"A"
"16","SHM","Corn-Cotton-Soybean",0.502338625983405,0.0503754361096991,3,0.342021505459038,0.662655746507772,"A"
