"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",2,0.426159955079566,0.0337536622152645,3,0.318740737472803,0.533579172686329,"A"
"4","Wheat","Corn-Corn-Corn",2,0.456063241158692,0.0350918198667665,3,0.344385408678019,0.567741073639364,"A"
"10","Clover","Corn-Corn-Corn",2,0.464073467021826,0.0404792740207031,3,0.335250350974072,0.592896583069579,"A"
"2","Wheat-Clover","Corn-Corn-Corn",2,0.464808405155152,0.032583278929072,3,0.361113869513298,0.568502940797005,"A"
"1","SHM","Corn-Corn-Corn",2,0.486345205795435,0.0363694753245901,3,0.370601303423586,0.602089108167284,"A"
"16","No cover","Soybean-Soybean-Soybean",2,0.391311897572022,0.0337536622152645,3,0.28389267996526,0.498731115178785,"A"
"13","Wheat","Soybean-Soybean-Soybean",2,0.465472539926801,0.0350918198667665,3,0.353794707446128,0.577150372407473,"A"
"19","Clover","Soybean-Soybean-Soybean",2,0.413566943274362,0.0404792740207031,3,0.284743827226609,0.542390059322116,"A"
"20","Wheat-Clover","Soybean-Soybean-Soybean",2,0.470951660018027,0.032583278929072,3,0.367257124376174,0.574646195659881,"A"
"3","SHM","Soybean-Soybean-Soybean",2,0.458216816404268,0.0363694753245901,3,0.342472914032419,0.573960718776117,"A"
"14","No cover","Corn-Soybean-Corn",2,0.461281194431535,0.0337536622152645,3,0.353861976824772,0.568700412038298,"A"
"17","Wheat","Corn-Soybean-Corn",2,0.438310070431546,0.0350918198667665,3,0.326632237950874,0.549987902912219,"A"
"7","Clover","Corn-Soybean-Corn",2,0.451268992247123,0.0404792740207031,3,0.322445876199369,0.580092108294876,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",2,0.461807055322909,0.032583278929072,3,0.358112519681056,0.565501590964763,"A"
"18","SHM","Corn-Soybean-Corn",2,0.490355336982065,0.0363694753245901,3,0.374611434610216,0.606099239353913,"A"
"6","No cover","Corn-Cotton-Soybean",2,0.492455457870906,0.0337536622152645,3,0.385036240264144,0.599874675477669,"A"
"12","Wheat","Corn-Cotton-Soybean",2,0.471029642107121,0.0350918198667665,3,0.359351809626449,0.582707474587793,"A"
"15","Clover","Corn-Cotton-Soybean",2,0.403854155623513,0.0404792740207031,3,0.275031039575759,0.532677271671266,"A"
"8","Wheat-Clover","Corn-Cotton-Soybean",2,0.486630448573767,0.032583278929072,3,0.382935912931913,0.59032498421562,"A"
"9","SHM","Corn-Cotton-Soybean",2,0.448109258827323,0.0363694753245901,3,0.332365356455475,0.563853161199172,"A"
"29","No cover","Corn-Corn-Corn",3,0.405790636185221,0.0337536622152645,3,0.298371418578458,0.513209853791984,"A"
"37","Wheat","Corn-Corn-Corn",3,0.460917514875513,0.0350918198667665,3,0.34923968239484,0.572595347356185,"A"
"39","Clover","Corn-Corn-Corn",3,0.449806440890114,0.0404792740207032,3,0.32098332484236,0.578629556937867,"A"
"32","Wheat-Clover","Corn-Corn-Corn",3,0.437556697837361,0.032583278929072,3,0.333862162195507,0.541251233479214,"A"
"40","SHM","Corn-Corn-Corn",3,0.476026131023278,0.0363694753245901,3,0.360282228651429,0.591770033395127,"A"
"34","No cover","Soybean-Soybean-Soybean",3,0.367810979410775,0.0337536622152645,3,0.260391761804012,0.475230197017538,"A"
"35","Wheat","Soybean-Soybean-Soybean",3,0.39274828831409,0.0350918198667665,3,0.281070455833417,0.504426120794762,"A"
"38","Clover","Soybean-Soybean-Soybean",3,0.451273141465563,0.0404792740207031,3,0.32245002541781,0.580096257513316,"A"
"21","Wheat-Clover","Soybean-Soybean-Soybean",3,0.46553204694896,0.032583278929072,3,0.361837511307106,0.569226582590814,"A"
"31","SHM","Soybean-Soybean-Soybean",3,0.45229857058376,0.0363694753245901,3,0.336554668211911,0.568042472955609,"A"
"30","No cover","Corn-Soybean-Corn",3,0.410798588528713,0.0337536622152645,3,0.30337937092195,0.518217806135476,"A"
"24","Wheat","Corn-Soybean-Corn",3,0.439232669025871,0.0350918198667665,3,0.327554836545199,0.550910501506544,"A"
"36","Clover","Corn-Soybean-Corn",3,0.481613934220388,0.0404792740207031,3,0.352790818172634,0.610437050268141,"A"
"26","Wheat-Clover","Corn-Soybean-Corn",3,0.499691391199139,0.032583278929072,3,0.395996855557285,0.603385926840992,"A"
"27","SHM","Corn-Soybean-Corn",3,0.493813541265765,0.0363694753245901,3,0.378069638893917,0.609557443637614,"A"
"33","No cover","Corn-Cotton-Soybean",3,0.39770119994038,0.0337536622152645,3,0.290281982333618,0.505120417547143,"A"
"22","Wheat","Corn-Cotton-Soybean",3,0.40927441107036,0.0350918198667665,3,0.297596578589687,0.520952243551032,"A"
"28","Clover","Corn-Cotton-Soybean",3,0.412398670448391,0.0404792740207031,3,0.283575554400638,0.541221786496144,"A"
"23","Wheat-Clover","Corn-Cotton-Soybean",3,0.424212829471082,0.032583278929072,3,0.320518293829228,0.527907365112935,"A"
"25","SHM","Corn-Cotton-Soybean",3,0.40292576275884,0.0363694753245901,3,0.287181860386992,0.518669665130689,"A"
"53","No cover","Corn-Corn-Corn",4,0.444011134789789,0.0337536622152645,3,0.336591917183026,0.551430352396552,"A"
"51","Wheat","Corn-Corn-Corn",4,0.416243758550003,0.0350918198667665,3,0.304565926069331,0.527921591030676,"A"
"59","Clover","Corn-Corn-Corn",4,0.495025185316788,0.0404792740207032,3,0.366202069269034,0.623848301364541,"A"
"52","Wheat-Clover","Corn-Corn-Corn",4,0.415722558149037,0.032583278929072,3,0.312028022507183,0.519417093790891,"A"
"47","SHM","Corn-Corn-Corn",4,0.446680156127287,0.0363694753245901,3,0.330936253755438,0.562424058499136,"A"
"54","No cover","Soybean-Soybean-Soybean",4,0.340561458723601,0.0337536622152645,3,0.233142241116839,0.447980676330364,"A"
"45","Wheat","Soybean-Soybean-Soybean",4,0.398062915930821,0.0350918198667665,3,0.286385083450148,0.509740748411493,"A"
"55","Clover","Soybean-Soybean-Soybean",4,0.374369857279062,0.0404792740207031,3,0.245546741231309,0.503192973326816,"A"
"58","Wheat-Clover","Soybean-Soybean-Soybean",4,0.45155639794926,0.032583278929072,3,0.347861862307406,0.555250933591114,"A"
"56","SHM","Soybean-Soybean-Soybean",4,0.417148725050601,0.0363694753245901,3,0.301404822678752,0.53289262742245,"A"
"42","No cover","Corn-Soybean-Corn",4,0.424865125727509,0.0337536622152645,3,0.317445908120746,0.532284343334272,"A"
"44","Wheat","Corn-Soybean-Corn",4,0.432704478630546,0.0350918198667664,3,0.321026646149874,0.544382311111218,"A"
"41","Clover","Corn-Soybean-Corn",4,0.405149579459886,0.0404792740207032,3,0.276326463412133,0.53397269550764,"A"
"46","Wheat-Clover","Corn-Soybean-Corn",4,0.496203375089893,0.032583278929072,3,0.392508839448039,0.599897910731746,"A"
"48","SHM","Corn-Soybean-Corn",4,0.467811631468007,0.0363694753245901,3,0.352067729096158,0.583555533839856,"A"
"50","No cover","Corn-Cotton-Soybean",4,0.421931666943012,0.0337536622152645,3,0.314512449336249,0.529350884549774,"A"
"60","Wheat","Corn-Cotton-Soybean",4,0.377179229406333,0.0350918198667664,3,0.265501396925661,0.488857061887005,"A"
"49","Clover","Corn-Cotton-Soybean",4,0.38300069222633,0.0404792740207031,3,0.254177576178576,0.511823808274083,"A"
"43","Wheat-Clover","Corn-Cotton-Soybean",4,0.368023318221345,0.032583278929072,3,0.264328782579491,0.471717853863198,"A"
"57","SHM","Corn-Cotton-Soybean",4,0.459280533441595,0.0363694753245901,3,0.343536631069747,0.575024435813444,"A"
