"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","Corn-Corn-Corn",2,0.459490054842134,0.0264110501730599,3,0.375438305800217,0.543541803884051,"A"
"3","Soybean-Soybean-Soybean",2,0.439903971439096,0.0264110501730598,3,0.355852222397179,0.523955720481013,"A"
"2","Corn-Soybean-Corn",2,0.460604529883036,0.0264110501730599,3,0.376552780841119,0.544656278924953,"A"
"1","Corn-Cotton-Soybean",2,0.460415792600526,0.0264110501730598,3,0.376364043558609,0.544467541642443,"A"
"6","Corn-Corn-Corn",3,0.446019484162297,0.0264110501730599,3,0.36196773512038,0.530071233204214,"A"
"5","Soybean-Soybean-Soybean",3,0.42593260534463,0.0264110501730599,3,0.341880856302713,0.509984354386547,"A"
"8","Corn-Soybean-Corn",3,0.465030024847975,0.0264110501730599,3,0.380978275806058,0.549081773889892,"A"
"7","Corn-Cotton-Soybean",3,0.409302574737811,0.0264110501730598,3,0.325250825695894,0.493354323779727,"A"
"12","Corn-Corn-Corn",4,0.443536558586581,0.0264110501730599,3,0.359484809544664,0.527588307628498,"A"
"11","Soybean-Soybean-Soybean",4,0.396339870986669,0.0264110501730598,3,0.312288121944752,0.480391620028586,"A"
"10","Corn-Soybean-Corn",4,0.445346838075168,0.0264110501730598,3,0.361295089033251,0.529398587117085,"A"
"9","Corn-Cotton-Soybean",4,0.401883088047723,0.0264110501730598,3,0.317831339005806,0.48593483708964,"A"
