"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"19","No cover","Corn-Corn-Corn",2,0.433551967841968,0.0320604038703351,3,0.331521453998916,0.535582481685019,"AB"
"16","Wheat","Corn-Corn-Corn",2,0.529009448516764,0.0386346638660584,3,0.406056705240349,0.65196219179318,"AB"
"20","Clover","Corn-Corn-Corn",2,0.403154230145995,0.0506902682263522,3,0.2418351733152,0.564473286976789,"AB"
"6","Wheat-Clover","Corn-Corn-Corn",2,0.562607878627046,0.0464129015428055,3,0.414901311594648,0.710314445659444,"AB"
"18","SHM","Corn-Corn-Corn",2,0.533174666931823,0.031101689948598,3,0.434195208666828,0.632154125196818,"AB"
"4","No cover","Soybean-Soybean-Soybean",2,0.38465349601352,0.0320604038703351,3,0.282622982170469,0.486684009856572,"B"
"8","Wheat","Soybean-Soybean-Soybean",2,0.560605903385262,0.0386346638660584,3,0.437653160108846,0.683558646661678,"A"
"7","Clover","Soybean-Soybean-Soybean",2,0.393496289360461,0.0506902682263521,3,0.232177232529667,0.554815346191256,"AB"
"14","Wheat-Clover","Soybean-Soybean-Soybean",2,0.468978173789482,0.0464129015428055,3,0.321271606757084,0.61668474082188,"AB"
"15","SHM","Soybean-Soybean-Soybean",2,0.475764013755981,0.031101689948598,3,0.376784555490985,0.574743472020976,"AB"
"12","No cover","Corn-Soybean-Corn",2,0.409011120794629,0.0320604038703351,3,0.306980606951578,0.511041634637681,"AB"
"11","Wheat","Corn-Soybean-Corn",2,0.535092995441371,0.0386346638660584,3,0.412140252164955,0.658045738717786,"AB"
"17","Clover","Corn-Soybean-Corn",2,0.352609917125917,0.0506902682263521,3,0.191290860295122,0.513928973956711,"AB"
"9","Wheat-Clover","Corn-Soybean-Corn",2,0.511723977298767,0.0464129015428055,3,0.364017410266369,0.659430544331164,"AB"
"10","SHM","Corn-Soybean-Corn",2,0.469762254309767,0.031101689948598,3,0.370782796044771,0.568741712574762,"AB"
"2","No cover","Corn-Cotton-Soybean",2,0.452513335700952,0.0320604038703351,3,0.3504828218579,0.554543849544003,"AB"
"13","Wheat","Corn-Cotton-Soybean",2,0.587906704337667,0.0386346638660584,3,0.464953961061252,0.710859447614083,"AB"
"5","Clover","Corn-Cotton-Soybean",2,0.422517974733488,0.0506902682263521,3,0.261198917902694,0.583837031564283,"AB"
"1","Wheat-Clover","Corn-Cotton-Soybean",2,0.53217053173007,0.0464129015428054,3,0.384463964697672,0.679877098762468,"AB"
"3","SHM","Corn-Cotton-Soybean",2,0.54205845965159,0.031101689948598,3,0.443079001386595,0.641037917916585,"AB"
"30","No cover","Corn-Corn-Corn",3,0.386428297393641,0.0320604038703351,3,0.284397783550589,0.488458811236693,"HBHCHDHHAHHCHHEHHF"
"40","Wheat","Corn-Corn-Corn",3,0.391938909225785,0.0386346638660585,3,0.268986165949369,0.5148916525022,"DEHAHBHCHDHGHHAHHBHHCHHDHHEHHF"
