"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,0.492299638412719,0.0208853664135162,3,0.425833081235528,0.55876619558991,"A"
"1","Soybean-Soybean-Soybean",2,0.456699575260941,0.0208853664135162,3,0.39023301808375,0.523166132438132,"A"
"4","Corn-Soybean-Corn",2,0.45564005299409,0.0208853664135162,3,0.389173495816899,0.522106610171281,"A"
"3","Corn-Cotton-Soybean",2,0.507433401230754,0.0208853664135162,3,0.440966844053562,0.573899958407945,"A"
"6","Corn-Corn-Corn",3,0.502466169039916,0.0208853664135162,3,0.435999611862725,0.568932726217107,"A"
"5","Soybean-Soybean-Soybean",3,0.516705210799999,0.0208853664135162,3,0.450238653622808,0.58317176797719,"A"
"8","Corn-Soybean-Corn",3,0.487294788917953,0.0208853664135162,3,0.420828231740761,0.553761346095144,"A"
"7","Corn-Cotton-Soybean",3,0.529507305790347,0.0208853664135163,3,0.463040748613156,0.595973862967538,"A"
"12","Corn-Corn-Corn",4,0.442544129919463,0.0208853664135162,3,0.376077572742272,0.509010687096654,"A"
"11","Soybean-Soybean-Soybean",4,0.475972255833785,0.0208853664135162,3,0.409505698656594,0.542438813010976,"A"
"10","Corn-Soybean-Corn",4,0.494100907487776,0.0208853664135162,3,0.427634350310585,0.560567464664967,"A"
"9","Corn-Cotton-Soybean",4,0.50492048469301,0.0208853664135162,3,0.438453927515819,0.571387041870202,"A"
