"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",9.84166666666667,0.410971956712013,3,8.53377048145331,11.14956285188,"A"
"2","Wheat","Corn-Corn-Corn",9.97833333333334,0.407920146275105,3,8.68014937096934,11.2765172956973,"A"
"4","Clover","Corn-Corn-Corn",10.1,0.403335473792365,3,8.81640651163964,11.3835934883604,"A"
"3","Wheat-Clover","Corn-Corn-Corn",9.9525,0.424161074759503,3,8.60263015478646,11.3023698452136,"A"
"1","SHM","Corn-Corn-Corn",10.3108333333333,0.449398955877468,3,8.88064528660274,11.7410213800639,"A"
"9","No cover","Soybean-Soybean-Soybean",8.60083333333334,0.410971956712013,3,7.29293714811998,9.9087295185467,"B"
"7","Wheat","Soybean-Soybean-Soybean",9.59416666666667,0.407920146275105,3,8.29598270430267,10.8923506290307,"A"
"10","Clover","Soybean-Soybean-Soybean",9.41666666666667,0.403335473792365,3,8.13307317830631,10.700260155027,"AB"
"6","Wheat-Clover","Soybean-Soybean-Soybean",10.1591666666667,0.424161074759503,3,8.80929682145312,11.5090365118802,"A"
"8","SHM","Soybean-Soybean-Soybean",9.88416666666667,0.449398955877468,3,8.45397861993607,11.3143547133973,"A"
"14","No cover","Corn-Soybean-Corn",9.56416666666667,0.410971956712013,3,8.25627048145331,10.87206285188,"B"
"15","Wheat","Corn-Soybean-Corn",9.57416666666667,0.407920146275105,3,8.27598270430267,10.8723506290307,"B"
"13","Clover","Corn-Soybean-Corn",10.0191666666667,0.403335473792364,3,8.73557317830631,11.302760155027,"AB"
"11","Wheat-Clover","Corn-Soybean-Corn",10.76,0.424161074759504,3,9.41013015478646,12.1098698452136,"A"
"12","SHM","Corn-Soybean-Corn",10.3233333333333,0.449398955877468,3,8.89314528660273,11.7535213800639,"AB"
"17","No cover","Corn-Cotton-Soybean",9.75083333333334,0.410971956712013,3,8.44293714811998,11.0587295185467,"A"
"16","Wheat","Corn-Cotton-Soybean",9.39083333333334,0.407920146275105,3,8.09264937096934,10.6890172956973,"A"
"20","Clover","Corn-Cotton-Soybean",9.25166666666667,0.403335473792365,3,7.9680731783063,10.535260155027,"A"
"19","Wheat-Clover","Corn-Cotton-Soybean",9.73333333333334,0.424161074759503,3,8.38346348811979,11.0832031785469,"A"
"18","SHM","Corn-Cotton-Soybean",9.9575,0.449398955877468,3,8.5273119532694,11.3876880467306,"A"
