"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover",2,9.134375,0.272486096170365,3,8.26720263000144,10.0015473699986,"A"
"2","Wheat",2,9.45500000000001,0.269024803700732,3,8.59884300743293,10.3111569925671,"A"
"5","Clover",2,9.39875,0.263789383823295,3,8.55925445007849,10.2382455499215,"A"
"1","Wheat-Clover",2,9.875625,0.287244971599579,3,8.9614833014216,10.7897666985784,"A"
"3","SHM",2,9.77750000000001,0.314713801510529,3,8.77594022516103,10.779059774839,"A"
"10","No cover",3,9.78062500000001,0.272486096170365,3,8.91345263000145,10.6477973699986,"B"
"7","Wheat",3,10.335,0.269024803700731,3,9.47884300743294,11.1911569925671,"AB"
"9","Clover",3,10.283125,0.263789383823295,3,9.44362945007849,11.1226205499215,"AB"
"8","Wheat-Clover",3,10.5775,0.287244971599579,3,9.6633583014216,11.4916416985784,"AB"
"6","SHM",3,10.830625,0.314713801510529,3,9.82906522516103,11.832184774839,"A"
"15","No cover",4,9.403125,0.272486096170366,3,8.53595263000144,10.2702973699986,"AB"
"14","Wheat",4,9.11312500000001,0.269024803700732,3,8.25696800743293,9.96928199256708,"B"
"13","Clover",4,9.40875,0.263789383823295,3,8.56925445007849,10.2482455499215,"AB"
"12","Wheat-Clover",4,10.000625,0.287244971599579,3,9.0864833014216,10.9147666985784,"A"
"11","SHM",4,9.74875,0.314713801510529,3,8.74719022516103,10.750309774839,"AB"
