"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group",".group_lower","minys"
"10","No cover","Corn-Corn-Corn",9.84166666666667,0.402873754831853,2,8.10824080569498,11.5750925276384,"ABC","abc",9.43879291183482
"14","No cover","Soybean-Soybean-Soybean",8.60083333333334,0.402873754831853,2,6.86740747236165,10.334259194305,"C","c",8.19795957850148
"3","No cover","Corn-Soybean-Corn",9.56416666666667,0.402873754831853,2,7.83074080569498,11.2975925276384,"BC","bc",9.16129291183482
"4","No cover","Corn-Cotton-Soybean",9.75083333333333,0.402873754831853,2,8.01740747236165,11.484259194305,"ABC","abc",9.34795957850148
"7","Wheat","Corn-Corn-Corn",9.97833333333334,0.402873754831853,2,8.24490747236165,11.711759194305,"ABC","abc",9.57545957850148
"2","Wheat","Soybean-Soybean-Soybean",9.59416666666667,0.402873754831853,2,7.86074080569498,11.3275925276384,"ABC","abc",9.19129291183481
"13","Wheat","Corn-Soybean-Corn",9.57416666666667,0.402873754831853,2,7.84074080569498,11.3075925276384,"BC","bc",9.17129291183481
"5","Wheat","Corn-Cotton-Soybean",9.39083333333333,0.402873754831853,2,7.65740747236165,11.124259194305,"ABC","abc",8.98795957850148
"11","Clover","Corn-Corn-Corn",10.1,0.402873754831853,2,8.36657413902832,11.8334258609717,"ABC","abc",9.69712624516815
"9","Clover","Soybean-Soybean-Soybean",9.41666666666667,0.402873754831853,2,7.68324080569498,11.1500925276384,"ABC","abc",9.01379291183481
"12","Clover","Corn-Soybean-Corn",10.0191666666667,0.402873754831853,2,8.28574080569498,11.7525925276384,"ABC","abc",9.61629291183482
"15","Clover","Corn-Cotton-Soybean",9.25166666666667,0.402873754831853,2,7.51824080569498,10.9850925276384,"ABC","abc",8.84879291183482
"16","Wheat-Clover","Corn-Corn-Corn",9.9525,0.402873754831853,2,8.21907413902832,11.6859258609717,"ABC","abc",9.54962624516815
"8","Wheat-Clover","Soybean-Soybean-Soybean",10.1591666666667,0.402873754831853,2,8.42574080569498,11.8925925276384,"AB","ab",9.75629291183481
"6","Wheat-Clover","Corn-Soybean-Corn",10.76,0.402873754831853,2,9.02657413902831,12.4934258609717,"A","a",10.3571262451681
"20","Wheat-Clover","Corn-Cotton-Soybean",9.73333333333333,0.402873754831853,2,7.99990747236165,11.466759194305,"ABC","abc",9.33045957850148
"17","SHM","Corn-Corn-Corn",10.3108333333333,0.402873754831853,2,8.57740747236165,12.044259194305,"ABC","abc",9.90795957850148
"1","SHM","Soybean-Soybean-Soybean",9.88416666666667,0.402873754831853,2,8.15074080569498,11.6175925276384,"AB","ab",9.48129291183481
"18","SHM","Corn-Soybean-Corn",10.3233333333333,0.402873754831853,2,8.58990747236165,12.056759194305,"AB","ab",9.92045957850148
"19","SHM","Corn-Cotton-Soybean",9.9575,0.402873754831853,2,8.22407413902831,11.6909258609717,"ABC","abc",9.55462624516815
