"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"10","No cover","Soybean-Soybean-Soybean",4.22039214934996,0.14705997390979,3,3.77274723863893,4.71002251541115,"B"
"8","Wheat","Soybean-Soybean-Soybean",4.40454618696552,0.223706346978151,3,3.73751085149632,5.16549922578395,"AB"
"9","Clover","Soybean-Soybean-Soybean",4.00518156164745,0.348671454607136,3,3.00994609206463,5.24742624710872,"AB"
"6","Wheat-Clover","Soybean-Soybean-Soybean",4.37934354668315,0.134539347923795,3,3.96777574789164,4.82500870847941,"AB"
"7","SHM","Soybean-Soybean-Soybean",4.47810350841064,0.150760025093911,3,4.01872804235208,4.97952664412488,"AB"
"4","No cover","Corn-Cotton-Soybean",4.60532025725685,0.157903511308217,3,4.1246680353009,5.13105375216156,"AB"
"5","Wheat","Corn-Cotton-Soybean",4.41937349979066,0.2243200828725,3,3.75050816023928,5.18241420487401,"AB"
"2","Clover","Corn-Cotton-Soybean",4.55393125706862,0.386898510341503,3,3.44958183146256,5.9323710803864,"AB"
"3","Wheat-Clover","Corn-Cotton-Soybean",4.82646907355437,0.145722120747893,3,4.38069218079426,5.30917746721471,"A"
"1","SHM","Corn-Cotton-Soybean",4.79740315963543,0.1595473040048,3,4.3112522911281,5.32805251060898,"AB"
