"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"3","No cover","Corn-Corn-Corn",0.427419354838708,0.0562009879617205,3,0.248562728346637,0.60627598133078,"A"
"4","Wheat","Corn-Corn-Corn",0.506048387096773,0.0562009879617205,3,0.327191760604701,0.684905013588845,"A"
"1","Clover","Corn-Corn-Corn",0.35282258064516,0.0562009879617205,3,0.173965954153088,0.531679207137231,"A"
"2","Wheat-Clover","Corn-Corn-Corn",0.345766129032256,0.0562009879617206,3,0.166909502540184,0.524622755524328,"A"
"5","SHM","Corn-Corn-Corn",0.391129032258062,0.0562009879617205,3,0.21227240576599,0.569985658750134,"A"
"6","No cover","Soybean-Soybean-Soybean",0.533216783216782,0.0597615336054759,3,0.343028911395947,0.723404655037617,"A"
"9","Wheat","Soybean-Soybean-Soybean",0.541958041958041,0.0597615336054759,3,0.351770170137206,0.732145913778875,"A"
"10","Clover","Soybean-Soybean-Soybean",0.492132867132866,0.0597615336054758,3,0.301944995312031,0.6823207389537,"A"
"7","Wheat-Clover","Soybean-Soybean-Soybean",0.517191142191141,0.0597615336054759,3,0.327003270370306,0.707379014011976,"A"
"8","SHM","Soybean-Soybean-Soybean",0.542249417249416,0.059761533605476,3,0.35206154542858,0.732437289070251,"A"
"13","No cover","Corn-Soybean-Corn",0.36500864726671,0.0463381767510492,3,0.21753988787175,0.51247740666167,"A"
"12","Wheat","Corn-Soybean-Corn",0.292373956688472,0.0463381767510491,3,0.144905197293512,0.439842716083431,"A"
"11","Clover","Corn-Soybean-Corn",0.277245939544325,0.0463381767510491,3,0.129777180149366,0.424714698939285,"A"
"15","Wheat-Clover","Corn-Soybean-Corn",0.278465486126775,0.0463381767510492,3,0.130996726731815,0.425934245521735,"A"
"14","SHM","Corn-Soybean-Corn",0.304045416948641,0.0463381767510492,3,0.156576657553681,0.451514176343601,"A"
"16","No cover","Corn-Cotton-Soybean",0.545684437886271,0.0905803884188526,3,0.25741721543153,0.833951660341011,"A"
"18","Wheat","Corn-Cotton-Soybean",0.547876435491113,0.0905803884188526,3,0.259609213036372,0.836143657945853,"A"
"17","Clover","Corn-Cotton-Soybean",0.495059985885672,0.0905803884188527,3,0.206792763430931,0.783327208340413,"A"
"20","Wheat-Clover","Corn-Cotton-Soybean",0.547384572613928,0.0905803884188526,3,0.259117350159188,0.835651795068669,"A"
"19","SHM","Corn-Cotton-Soybean",0.506212441992257,0.0905803884188525,3,0.217945219537516,0.794479664446997,"A"
