"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",0.328571428571428,0.0740782358746825,3,0.0928214205101096,0.564321436632746,"A"
"4","Wheat","Corn-Corn-Corn",0.307142857142857,0.0740782358746825,3,0.0713928490815386,0.542892865204175,"A"
"5","Clover","Corn-Corn-Corn",0.328571428571428,0.0740782358746825,3,0.0928214205101098,0.564321436632746,"A"
"2","Wheat-Clover","Corn-Corn-Corn",0.4,0.0740782358746825,3,0.164249991938681,0.635750008061318,"A"
"3","SHM","Corn-Corn-Corn",0.310714285714285,0.0740782358746824,3,0.074964277652967,0.546464293775603,"A"
"9","No cover","Soybean-Soybean-Soybean",0.788306451612903,0.0882523158235424,3,0.507448195187539,1.06916470803827,"A"
"10","Wheat","Soybean-Soybean-Soybean",0.584677419354838,0.0882523158235424,3,0.303819162929475,0.865535675780202,"A"
"8","Clover","Soybean-Soybean-Soybean",0.633064516129032,0.0882523158235424,3,0.352206259703668,0.913922772554395,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",0.552419354838709,0.0882523158235424,3,0.271561098413346,0.833277611264073,"A"
"7","SHM","Soybean-Soybean-Soybean",0.677419354838709,0.0882523158235424,3,0.396561098413346,0.958277611264073,"A"
"14","No cover","Corn-Soybean-Corn",0.629550691244239,0.0749462804187773,3,0.391038178030745,0.868063204457734,"A"
"15","Wheat","Corn-Soybean-Corn",0.529608294930875,0.0749462804187772,3,0.291095781717381,0.768120808144369,"A"
"13","Clover","Corn-Soybean-Corn",0.626670506912442,0.0749462804187773,3,0.388157993698947,0.865183020125936,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",0.482834101382488,0.0749462804187773,3,0.244321588168993,0.721346614595982,"A"
"12","SHM","Corn-Soybean-Corn",0.629320276497695,0.0749462804187773,3,0.390807763284201,0.86783278971119,"A"
"16","No cover","Corn-Cotton-Soybean",0.602669179523141,0.101545843164394,3,0.279504986127697,0.925833372918586,"A"
"20","Wheat","Corn-Cotton-Soybean",0.566751402524544,0.101545843164394,3,0.243587209129099,0.889915595919988,"A"
"19","Clover","Corn-Cotton-Soybean",0.571506837307152,0.101545843164394,3,0.248342643911708,0.894671030702597,"A"
"18","Wheat-Clover","Corn-Cotton-Soybean",0.607161640953716,0.101545843164394,3,0.283997447558272,0.930325834349161,"A"
"17","SHM","Corn-Cotton-Soybean",0.610799438990182,0.101545843164394,3,0.287635245594737,0.933963632385626,"A"
