"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover",3,0.569652562111801,0.0658167658865257,3,0.360194238690504,0.779110885533097,"A"
"1","Wheat",3,0.501146438589461,0.0658167658865257,3,0.291688115168164,0.710604762010757,"A"
"3","Clover",3,0.522418165197355,0.0658167658865257,3,0.312959841776058,0.731876488618651,"A"
"5","Wheat-Clover",3,0.589611926467641,0.0658167658865257,3,0.380153603046345,0.799070249888938,"A"
"4","SHM",3,0.483049489080344,0.0658167658865257,3,0.273591165659048,0.692507812501641,"A"
"7","No cover",4,0.604896313364055,0.0658167658865257,3,0.395437989942758,0.814354636785351,"AB"
"6","Wheat",4,0.492943548387096,0.0658167658865257,3,0.2834852249658,0.702401871808393,"AB"
"8","Clover",4,0.557488479262672,0.0658167658865257,3,0.348030155841376,0.766946802683969,"AB"
"10","Wheat-Clover",4,0.431595622119815,0.0658167658865256,3,0.222137298698519,0.641053945541112,"B"
"9","SHM",4,0.631077188940092,0.0658167658865257,3,0.421618865518795,0.840535512361388,"A"
