"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"9","No cover","Corn-Corn-Corn",3,0.347902097902097,0.0928302759981797,3,0.0524747290332234,0.643329466770971,"A"
"11","Wheat","Corn-Corn-Corn",3,0.4493006993007,0.0928302759981798,3,0.153873330431826,0.744728068169574,"A"
"6","Clover","Corn-Corn-Corn",3,0.365384615384615,0.0928302759981797,3,0.0699572465157414,0.660811984253489,"A"
"14","Wheat-Clover","Corn-Corn-Corn",3,0.472027972027972,0.0928302759981797,3,0.176600603159098,0.767455340896846,"A"
"7","SHM","Corn-Corn-Corn",3,0.508741258741259,0.0928302759981798,3,0.213313889872385,0.804168627610133,"A"
"3","No cover","Soybean-Soybean-Soybean",3,0.276143790849673,0.100967443304995,3,-0.0451796760502488,0.597467257749595,"A"
"5","Wheat","Soybean-Soybean-Soybean",3,0.25,0.100967443304995,3,-0.0713234668999217,0.571323466899923,"A"
"19","Clover","Soybean-Soybean-Soybean",3,0.32516339869281,0.100967443304994,3,0.00383993179288866,0.646486865592731,"A"
"1","Wheat-Clover","Soybean-Soybean-Soybean",3,0.281045751633987,0.100967443304995,3,-0.040277715265935,0.602369218533909,"A"
"13","SHM","Soybean-Soybean-Soybean",3,0.321895424836601,0.100967443304994,3,0.000571957936679579,0.643218891736523,"A"
"2","No cover","Corn-Soybean-Corn",3,0.266339869281045,0.0733213996961129,3,0.0329984517199209,0.49968128684217,"A"
"18","Wheat","Corn-Soybean-Corn",3,0.300653594771242,0.073321399696113,3,0.0673121772101171,0.533995012332367,"A"
"10","Clover","Corn-Soybean-Corn",3,0.313725490196078,0.0733213996961129,3,0.080384072634954,0.547066907757203,"A"
"4","Wheat-Clover","Corn-Soybean-Corn",3,0.251633986928105,0.0733213996961129,3,0.0182925693669801,0.484975404489229,"A"
"16","SHM","Corn-Soybean-Corn",3,0.36764705882353,0.0733213996961129,3,0.134305641262405,0.600988476384654,"A"
"15","No cover","Corn-Cotton-Soybean",3,0.275641025641026,0.110282505569743,3,-0.0753271267468327,0.626609178028884,"A"
"20","Wheat","Corn-Cotton-Soybean",3,0.164529914529915,0.110282505569743,3,-0.186438237857944,0.515498066917773,"A"
"12","Clover","Corn-Cotton-Soybean",3,0.344017094017094,0.110282505569743,3,-0.00695105837076415,0.694985246404952,"A"
"8","Wheat-Clover","Corn-Cotton-Soybean",3,0.30982905982906,0.110282505569743,3,-0.0411390925587986,0.660797212216918,"A"
"17","SHM","Corn-Cotton-Soybean",3,0.57051282051282,0.110282505569743,3,0.219544668124962,0.921480972900679,"A"
"36","No cover","Corn-Corn-Corn",4,0.688811188811189,0.0928302759981795,3,0.393383819942316,0.984238557680062,"A"
"33","Wheat","Corn-Corn-Corn",4,0.472027972027972,0.0928302759981797,3,0.176600603159098,0.767455340896846,"A"
"28","Clover","Corn-Corn-Corn",4,0.674825174825175,0.0928302759981797,3,0.379397805956301,0.970252543694049,"A"
"34","Wheat-Clover","Corn-Corn-Corn",4,0.519230769230769,0.0928302759981796,3,0.223803400361896,0.814658138099643,"A"
"40","SHM","Corn-Corn-Corn",4,0.603146853146853,0.0928302759981797,3,0.307719484277979,0.898574222015727,"A"
"37","No cover","Soybean-Soybean-Soybean",4,0.493464052287581,0.100967443304994,3,0.172140585387659,0.814787519187503,"A"
"35","Wheat","Soybean-Soybean-Soybean",4,0.285947712418301,0.100967443304994,3,-0.0353757544816209,0.607271179318223,"A"
"23","Clover","Soybean-Soybean-Soybean",4,0.431372549019608,0.100967443304994,3,0.110049082119686,0.752696015919529,"A"
"38","Wheat-Clover","Soybean-Soybean-Soybean",4,0.464052287581699,0.100967443304994,3,0.142728820681777,0.785375754481621,"A"
"31","SHM","Soybean-Soybean-Soybean",4,0.447712418300653,0.100967443304994,3,0.126388951400732,0.769035885200575,"A"
"30","No cover","Corn-Soybean-Corn",4,0.671328671328671,0.0733213996961129,3,0.437987253767547,0.904670088889796,"A"
"39","Wheat","Corn-Soybean-Corn",4,0.730769230769231,0.0733213996961128,3,0.497427813208107,0.964110648330355,"A"
"22","Clover","Corn-Soybean-Corn",4,0.603146853146853,0.073321399696113,3,0.369805435585728,0.836488270707978,"A"
"24","Wheat-Clover","Corn-Soybean-Corn",4,0.475524475524476,0.0733213996961128,3,0.242183057963351,0.7088658930856,"A"
"27","SHM","Corn-Soybean-Corn",4,0.770979020979021,0.0733213996961129,3,0.537637603417896,1.00432043854015,"A"
"21","No cover","Corn-Cotton-Soybean",4,0.429738562091503,0.110282505569743,3,0.078770409703645,0.780706714479362,"A"
"26","Wheat","Corn-Cotton-Soybean",4,0.491830065359477,0.110282505569743,3,0.140861912971619,0.842798217747336,"A"
"29","Clover","Corn-Cotton-Soybean",4,0.637254901960784,0.110282505569743,3,0.286286749572926,0.988223054348643,"A"
"32","Wheat-Clover","Corn-Cotton-Soybean",4,0.287581699346405,0.110282505569743,3,-0.0633864530414535,0.638549851734264,"A"
"25","SHM","Corn-Cotton-Soybean",4,0.468954248366013,0.110282505569743,3,0.117986095978155,0.819922400753872,"A"
