"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group",".group_lower","minys"
"4","No cover","Corn-Corn-Corn",4.59844331041212,0.707189065470409,1,0.651580644495445,32.4528990505056,"","",3.89125424494171
"2","Wheat","Corn-Corn-Corn",4.62738426192423,0.71163985959183,1,0.655681459176768,32.6571459476503,"","",3.9157444023324
"5","Clover","Corn-Corn-Corn",4.72068765667117,0.725988876439966,1,0.668902169312558,33.3156221854536,"","",3.9946987802312
"1","Wheat-Clover","Corn-Corn-Corn",4.69638347228243,0.722251165157113,1,0.665458365603574,33.1440986525471,"","",3.97413230712532
"3","SHM","Corn-Corn-Corn",4.58074091711945,0.704466635699253,1,0.649072287633757,32.3279667758858,"","",3.87627428142019
"8","No cover","Soybean-Soybean-Soybean",5.44580754823258,0.842989072290088,1,0.761836543578327,38.9280615407206,"A","a",4.60281847594249
"9","Wheat","Soybean-Soybean-Soybean",4.4078529671171,0.677878405826676,1,0.62457477091262,31.107833176376,"B","b",3.72997456129043
"6","Clover","Soybean-Soybean-Soybean",4.30978719411075,0.662796988554451,1,0.610679251219305,30.4157470905307,"B","b",3.6469902055563
"7","Wheat-Clover","Soybean-Soybean-Soybean",5.0684645166653,0.779473061415043,1,0.718180730616659,35.7700108921571,"AB","ab",4.28899145525026
"10","SHM","Soybean-Soybean-Soybean",4.42984503065006,0.681260538824255,1,0.627690956535294,31.2630392253734,"B","b",3.74858449182581
"14","No cover","Corn-Soybean-Corn",4.80297926087742,0.738644403266385,1,0.680562553683039,33.8963841833156,"","",4.06433485761104
"12","Wheat","Corn-Soybean-Corn",4.70189196325754,0.723098309358286,1,0.666238896286997,33.1829740913572,"","",3.97879365389925
"15","Clover","Corn-Soybean-Corn",5.12895509094593,0.78877583407257,1,0.726751998046754,36.1969150351725,"","",4.34017925687336
"11","Wheat-Clover","Corn-Soybean-Corn",4.58541881678672,0.705186044262271,1,0.649735126919648,32.360980427555,"","",3.88023277252445
"13","SHM","Corn-Soybean-Corn",4.5776194719044,0.703986592394262,1,0.648629991589707,32.3059375934827,"","",3.87363287951014
"19","No cover","Corn-Cotton-Soybean",2.75787498633315,0.424130276838047,1,0.390779626871549,19.4633341075945,"","",2.3337447094951
"17","Wheat","Corn-Cotton-Soybean",2.81198038274137,0.432451080670986,1,0.398446140663841,19.8451757111971,"","",2.37952930207038
"20","Clover","Corn-Cotton-Soybean",2.80285058818839,0.431047020548458,1,0.397152486046968,19.7807434063976,"","",2.37180356763993
"16","Wheat-Clover","Corn-Cotton-Soybean",2.89466795110907,0.448082938862802,1,0.404947072981969,20.6918461849238,"","",2.44658501224627
"18","SHM","Corn-Cotton-Soybean",2.85511122242811,0.439084120626477,1,0.404557604571004,20.1495658475609,"","",2.41602710180163
