"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group",".group_lower","minys"
"1","No cover","Corn-Corn-Corn",5.89383596298601,1.41813101078684,1,0.277103136608579,125.358748312024,"","",4.47570495219917
"3","Wheat","Corn-Corn-Corn",5.59991637783284,1.34741026440011,1,0.263284285953738,119.107235455103,"","",4.25250611343273
"2","Clover","Corn-Corn-Corn",6.35017802543191,1.5279326466561,1,0.29855840235814,135.064900656543,"","",4.82224537877581
"5","Wheat-Clover","Corn-Corn-Corn",5.68066551254946,1.36683952112782,1,0.267080767336818,120.824726494712,"","",4.31382599142165
"4","SHM","Corn-Corn-Corn",5.96012523000822,1.43408104160495,1,0.280219776421885,126.768685675841,"","",4.52604418840327
"6","No cover","Soybean-Soybean-Soybean",4.78154126644764,1.15049892665675,1,0.224807763751321,101.700833197347,"","",3.63104233979089
"9","Wheat","Soybean-Soybean-Soybean",4.74524112753316,1.14176465698692,1,0.223101085381631,100.928748598039,"","",3.60347647054625
"10","Clover","Soybean-Soybean-Soybean",4.29379086229356,1.03314004900922,1,0.201875811161869,91.3266421717689,"","",3.26065081328434
"7","Wheat-Clover","Soybean-Soybean-Soybean",4.8039771857554,1.15589729083344,1,0.225862605394679,102.178033238087,"","",3.64807989492197
"8","SHM","Soybean-Soybean-Soybean",4.93268148827024,1.18686516366944,1,0.231913735108138,104.915505126846,"","",3.7458163246008
"15","No cover","Corn-Soybean-Corn",5.13840053475481,1.23636375188285,1,0.241585771011241,109.291039555223,"AB","ab",3.90203678287195
"12","Wheat","Corn-Soybean-Corn",5.04005535538487,1.21270066565145,1,0.236961998336724,107.19929002813,"AB","ab",3.82735468973343
"14","Clover","Corn-Soybean-Corn",5.45012955444023,1.31136967206019,1,0.256241945643388,115.921349588571,"A","a",4.13875988238004
"13","Wheat-Clover","Corn-Soybean-Corn",4.64564772835915,1.1178012333821,1,0.218418626712956,98.81045010127,"B","b",3.52784649497705
"11","SHM","Corn-Soybean-Corn",4.9531429154613,1.19178844022597,1,0.232875744517586,105.350708773072,"AB","ab",3.76135447523534
"18","No cover","Corn-Cotton-Soybean",3.87360962344647,0.932039161793821,1,0.18212067376751,82.3896112640778,"","",2.94157046165264
"19","Wheat","Corn-Cotton-Soybean",4.03991935777201,0.972055374176375,1,0.189939851179227,85.92693063606,"","",3.06786398359564
"16","Clover","Corn-Cotton-Soybean",3.91007242291418,0.940812569637204,1,0.183834999745614,83.1651555666223,"","",2.96925985327698
"17","Wheat-Clover","Corn-Cotton-Soybean",3.85265449046658,0.926997093419241,1,0.181135452408578,81.9439067589699,"","",2.92565739704734
"20","SHM","Corn-Cotton-Soybean",3.88624466845821,0.935079312430244,1,0.182714719924534,82.658351934413,"","",2.95116535602797
