"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",0.414893617021277,0.0923625308327244,3,0.12095482202602,0.708832412016533,"A"
"3","Wheat","Corn-Corn-Corn",0.316489361702127,0.0923625308327245,3,0.0225505667068709,0.610428156697384,"A"
"2","Clover","Corn-Corn-Corn",0.553191489361702,0.0923625308327245,3,0.259252694366445,0.847130284356959,"A"
"5","Wheat-Clover","Corn-Corn-Corn",0.327127659574468,0.0923625308327245,3,0.0331888645792117,0.621066454569725,"A"
"4","SHM","Corn-Corn-Corn",0.422872340425532,0.0923625308327245,3,0.128933545430275,0.716811135420788,"A"
"6","No cover","Soybean-Soybean-Soybean",0.363636363636364,0.0815612187275454,3,0.104072164442451,0.623200562830277,"A"
"9","Wheat","Soybean-Soybean-Soybean",0.363636363636364,0.0815612187275453,3,0.104072164442451,0.623200562830277,"A"
"10","Clover","Soybean-Soybean-Soybean",0.265625,0.0815612187275455,3,0.00606080080608645,0.525189199193913,"A"
"7","Wheat-Clover","Soybean-Soybean-Soybean",0.375,0.0815612187275451,3,0.115435800806088,0.634564199193912,"A"
"8","SHM","Soybean-Soybean-Soybean",0.403409090909091,0.0815612187275454,3,0.143844891715178,0.662973290103004,"A"
"15","No cover","Corn-Soybean-Corn",0.423355899419729,0.0710657066380167,3,0.197193103897197,0.649518694942261,"AB"
"12","Wheat","Corn-Soybean-Corn",0.397273936170213,0.0710657066380167,3,0.17111114064768,0.623436731692745,"AB"
"14","Clover","Corn-Soybean-Corn",0.509036508704062,0.0710657066380167,3,0.28287371318153,0.735199304226594,"A"
"13","Wheat-Clover","Corn-Soybean-Corn",0.276142408123791,0.0710657066380167,3,0.0499796126012588,0.502305203646323,"B"
"11","SHM","Corn-Soybean-Corn",0.371554642166344,0.0710657066380167,3,0.145391846643812,0.597717437688876,"AB"
"17","No cover","Corn-Cotton-Soybean",0.477886977886978,0.119979980745209,3,0.0960571314563776,0.859716824317578,"A"
"16","Wheat","Corn-Cotton-Soybean",0.532824017199017,0.119979980745209,3,0.150994170768417,0.914653863629618,"A"
"19","Clover","Corn-Cotton-Soybean",0.482340294840295,0.119979980745209,3,0.100510448409694,0.864170141270895,"A"
"18","Wheat-Clover","Corn-Cotton-Soybean",0.531326781326781,0.119979980745209,3,0.149496934896181,0.913156627757381,"A"
"20","SHM","Corn-Cotton-Soybean",0.498541154791155,0.119979980745209,3,0.116711308360554,0.880371001221755,"A"
