"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover",3,0.323965239573048,0.0472338559959047,3,0.173646029074578,0.474284450071518,"A"
"3","Wheat",3,0.309542880401562,0.0472338559959046,3,0.159223669903093,0.459862090900031,"A"
"2","Clover",3,0.381840116142381,0.0472338559959047,3,0.231520905643911,0.53215932664085,"A"
"4","Wheat-Clover",3,0.337767873936146,0.0472338559959047,3,0.187448663437677,0.488087084434616,"A"
"1","SHM",3,0.337845311985707,0.0472338559959047,3,0.187526101487237,0.488164522484176,"A"
"10","No cover",4,0.593230415667467,0.0472338559959047,3,0.442911205168997,0.743549626165936,"A"
"7","Wheat",4,0.570988209432455,0.0472338559959045,3,0.420668998933986,0.721307419930924,"A"
"9","Clover",4,0.635461630695444,0.0472338559959047,3,0.485142420196975,0.785780841193914,"A"
"8","Wheat-Clover",4,0.554321542765788,0.0472338559959046,3,0.404002332267319,0.704640753264258,"A"
"6","SHM",4,0.564583333333334,0.0472338559959047,3,0.414264122834864,0.714902543831804,"A"
