"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"15","No cover","Corn-Corn-Corn",3,0.264705882352942,0.0941415467371746,3,-0.0348945352344731,0.564306299940357,"A"
"11","Wheat","Corn-Corn-Corn",3,0.323529411764706,0.0941415467371746,3,0.023928994177291,0.623129829352121,"A"
"19","Clover","Corn-Corn-Corn",3,0.264705882352941,0.0941415467371745,3,-0.0348945352344736,0.564306299940356,"A"
"17","Wheat-Clover","Corn-Corn-Corn",3,0.367647058823529,0.0941415467371747,3,0.0680466412361142,0.667247476410944,"A"
"10","SHM","Corn-Corn-Corn",3,0.308823529411764,0.0941415467371747,3,0.00922311182434915,0.608423946999179,"A"
"13","No cover","Soybean-Soybean-Soybean",3,0.308510638297872,0.0877265199103633,3,0.0293256991337389,0.587695577462005,"A"
"14","Wheat","Soybean-Soybean-Soybean",3,0.382978723404255,0.0877265199103632,3,0.103793784240122,0.662163662568388,"A"
"18","Clover","Soybean-Soybean-Soybean",3,0.404255319148936,0.0877265199103633,3,0.125070379984803,0.683440258313069,"A"
"12","Wheat-Clover","Soybean-Soybean-Soybean",3,0.388297872340425,0.0877265199103633,3,0.109112933176292,0.667482811504559,"A"
"5","SHM","Soybean-Soybean-Soybean",3,0.436170212765957,0.0877265199103633,3,0.156985273601824,0.71535515193009,"A"
"2","No cover","Corn-Soybean-Corn",3,0.430851063829787,0.0868218598269979,3,0.154545156805498,0.707156970854076,"A"
"9","Wheat","Corn-Soybean-Corn",3,0.409574468085106,0.0868218598269978,3,0.133268561060817,0.685880375109395,"A"
"6","Clover","Corn-Soybean-Corn",3,0.462765957446808,0.0868218598269978,3,0.186460050422519,0.739071864471097,"A"
"7","Wheat-Clover","Corn-Soybean-Corn",3,0.414893617021276,0.0868218598269979,3,0.138587709996987,0.691199524045566,"A"
"1","SHM","Corn-Soybean-Corn",3,0.484042553191489,0.0868218598269978,3,0.2077366461672,0.760348460215778,"A"
"20","No cover","Corn-Cotton-Soybean",3,0.194444444444444,0.117681756005548,3,-0.180071425154712,0.5689603140436,"A"
"4","Wheat","Corn-Cotton-Soybean",3,0.416666666666666,0.117681756005548,3,0.0421507970675102,0.791182536265822,"A"
"8","Clover","Corn-Cotton-Soybean",3,0.402777777777777,0.117681756005548,3,0.0282619081786213,0.777293647376933,"A"
"3","Wheat-Clover","Corn-Cotton-Soybean",3,0.527777777777777,0.117681756005548,3,0.153261908178621,0.902293647376933,"A"
"16","SHM","Corn-Cotton-Soybean",3,0.680555555555555,0.117681756005548,3,0.306039685956399,1.05507142515471,"A"
"25","No cover","Corn-Corn-Corn",4,0.411764705882352,0.0941415467371747,3,0.112164288294937,0.711365123469768,"A"
"29","Wheat","Corn-Corn-Corn",4,0.485294117647058,0.0941415467371746,3,0.185693700059643,0.784894535234473,"A"
"27","Clover","Corn-Corn-Corn",4,0.514705882352941,0.0941415467371747,3,0.215105464765526,0.814306299940356,"A"
"40","Wheat-Clover","Corn-Corn-Corn",4,0.352941176470588,0.0941415467371747,3,0.0533407588831726,0.652541594058003,"A"
"21","SHM","Corn-Corn-Corn",4,0.647058823529411,0.0941415467371747,3,0.347458405941996,0.946659241116826,"A"
"32","No cover","Soybean-Soybean-Soybean",4,0.542553191489362,0.0877265199103632,3,0.263368252325228,0.821738130653495,"A"
"23","Wheat","Soybean-Soybean-Soybean",4,0.526595744680851,0.0877265199103632,3,0.247410805516718,0.805780683844984,"A"
"35","Clover","Soybean-Soybean-Soybean",4,0.531914893617021,0.0877265199103633,3,0.252729954452888,0.811099832781154,"A"
"22","Wheat-Clover","Soybean-Soybean-Soybean",4,0.542553191489361,0.0877265199103633,3,0.263368252325228,0.821738130653495,"A"
"34","SHM","Soybean-Soybean-Soybean",4,0.654255319148936,0.0877265199103633,3,0.375070379984803,0.933440258313069,"A"
"36","No cover","Corn-Soybean-Corn",4,0.397058823529412,0.0868218598269979,3,0.120752916505122,0.673364730553701,"A"
"26","Wheat","Corn-Soybean-Corn",4,0.470588235294117,0.0868218598269979,3,0.194282328269828,0.746894142318407,"A"
"37","Clover","Corn-Soybean-Corn",4,0.470588235294117,0.0868218598269978,3,0.194282328269828,0.746894142318406,"A"
"30","Wheat-Clover","Corn-Soybean-Corn",4,0.397058823529411,0.0868218598269979,3,0.120752916505122,0.673364730553701,"A"
"28","SHM","Corn-Soybean-Corn",4,0.485294117647058,0.0868218598269979,3,0.208988210622769,0.761600024671348,"A"
"31","No cover","Corn-Cotton-Soybean",4,0.648936170212766,0.117681756005548,3,0.27442030061361,1.02345203981192,"A"
"33","Wheat","Corn-Cotton-Soybean",4,0.579787234042553,0.117681756005548,3,0.205271364443397,0.954303103641709,"A"
"39","Clover","Corn-Cotton-Soybean",4,0.611702127659574,0.117681756005548,3,0.237186258060418,0.98621799725873,"A"
"38","Wheat-Clover","Corn-Cotton-Soybean",4,0.441489361702127,0.117681756005548,3,0.066973492102971,0.816005231301283,"A"
"24","SHM","Corn-Cotton-Soybean",4,0.686170212765957,0.117681756005548,3,0.311654343166801,1.06068608236511,"A"
