"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",3,0.714285714285715,0.101252923045657,3,0.392053723439887,1.03651770513154,"A"
"16","Wheat","Corn-Corn-Corn",3,0.714285714285716,0.101252923045657,3,0.392053723439888,1.03651770513154,"A"
"6","Clover","Corn-Corn-Corn",3,0.535714285714288,0.101252923045657,3,0.21348229486846,0.857946276560115,"A"
"19","Wheat-Clover","Corn-Corn-Corn",3,0.821428571428573,0.101252923045657,3,0.499196580582746,1.1436605622744,"A"
"1","SHM","Corn-Corn-Corn",3,0.464285714285718,0.101252923045657,3,0.14205372343989,0.786517705131545,"A"
"3","No cover","Soybean-Soybean-Soybean",3,0.706521739130437,0.0735394520605142,3,0.472486381627865,0.940557096633008,"A"
"15","Wheat","Soybean-Soybean-Soybean",3,0.706521739130436,0.0735394520605141,3,0.472486381627865,0.940557096633008,"A"
"14","Clover","Soybean-Soybean-Soybean",3,0.706521739130436,0.0735394520605142,3,0.472486381627865,0.940557096633008,"A"
"12","Wheat-Clover","Soybean-Soybean-Soybean",3,0.706521739130436,0.0735394520605142,3,0.472486381627865,0.940557096633008,"A"
"18","SHM","Soybean-Soybean-Soybean",3,0.760869565217393,0.0735394520605141,3,0.526834207714821,0.994904922719964,"A"
"20","No cover","Corn-Soybean-Corn",3,0.717391304347827,0.0942177611997012,3,0.417548338325736,1.01723427036992,"A"
"9","Wheat","Corn-Soybean-Corn",3,0.673913043478262,0.0942177611997011,3,0.374070077456171,0.973756009500353,"A"
"17","Clover","Corn-Soybean-Corn",3,0.728260869565218,0.0942177611997012,3,0.428417903543127,1.02810383558731,"A"
"8","Wheat-Clover","Corn-Soybean-Corn",3,0.663043478260871,0.0942177611997012,3,0.363200512238779,0.962886444282963,"A"
"7","SHM","Corn-Soybean-Corn",3,0.706521739130436,0.0942177611997012,3,0.406678773108344,1.00636470515253,"A"
"2","No cover","Corn-Cotton-Soybean",3,0.416666666666668,0.116124859092772,3,0.0471055378952842,0.786227795438051,"A"
"13","Wheat","Corn-Cotton-Soybean",3,0.38888888888889,0.116124859092772,3,0.0193277601175062,0.758450017660273,"A"
"10","Clover","Corn-Cotton-Soybean",3,0.333333333333335,0.116124859092772,3,-0.0362277954380488,0.702894462104718,"A"
"4","Wheat-Clover","Corn-Cotton-Soybean",3,0.319444444444445,0.116124859092772,3,-0.0501166843269381,0.689005573215829,"A"
"11","SHM","Corn-Cotton-Soybean",3,0.402777777777779,0.116124859092772,3,0.0332166490063952,0.772338906549162,"A"
"25","No cover","Corn-Corn-Corn",4,0.642857142857144,0.101252923045657,3,0.320625152011316,0.965089133702971,"A"
"40","Wheat","Corn-Corn-Corn",4,0.571428571428573,0.101252923045657,3,0.249196580582746,0.893660562274401,"A"
"35","Clover","Corn-Corn-Corn",4,0.67857142857143,0.101252923045657,3,0.356339437725603,1.00080341941726,"A"
"36","Wheat-Clover","Corn-Corn-Corn",4,0.607142857142859,0.101252923045657,3,0.284910866297031,0.929374847988687,"A"
"21","SHM","Corn-Corn-Corn",4,0.67857142857143,0.101252923045657,3,0.356339437725602,1.00080341941726,"A"
"28","No cover","Soybean-Soybean-Soybean",4,0.663043478260871,0.0735394520605142,3,0.429008120758299,0.897078835763443,"A"
"33","Wheat","Soybean-Soybean-Soybean",4,0.630434782608697,0.0735394520605141,3,0.396399425106126,0.864470140111269,"A"
"26","Clover","Soybean-Soybean-Soybean",4,0.673913043478262,0.0735394520605142,3,0.439877685975691,0.907948400980834,"A"
"32","Wheat-Clover","Soybean-Soybean-Soybean",4,0.706521739130436,0.0735394520605142,3,0.472486381627865,0.940557096633008,"A"
"34","SHM","Soybean-Soybean-Soybean",4,0.793478260869567,0.0735394520605141,3,0.559442903366996,1.02751361837214,"A"
"39","No cover","Corn-Soybean-Corn",4,0.750000000000001,0.0942177611997012,3,0.45015703397791,1.04984296602209,"A"
"29","Wheat","Corn-Soybean-Corn",4,0.535714285714287,0.0942177611997012,3,0.235871319692196,0.835557251736379,"A"
"27","Clover","Corn-Soybean-Corn",4,0.67857142857143,0.0942177611997012,3,0.378728462549338,0.978414394593522,"A"
"30","Wheat-Clover","Corn-Soybean-Corn",4,0.392857142857144,0.0942177611997011,3,0.0930141768350528,0.692700108879236,"A"
"23","SHM","Corn-Soybean-Corn",4,0.607142857142859,0.0942177611997012,3,0.307299891120767,0.906985823164951,"A"
"24","No cover","Corn-Cotton-Soybean",4,0.706521739130436,0.116124859092772,3,0.336960610359053,1.07608286790182,"A"
"38","Wheat","Corn-Cotton-Soybean",4,0.673913043478262,0.116124859092772,3,0.304351914706878,1.04347417224965,"A"
"37","Clover","Corn-Cotton-Soybean",4,0.673913043478262,0.116124859092772,3,0.304351914706879,1.04347417224965,"A"
"31","Wheat-Clover","Corn-Cotton-Soybean",4,0.467391304347827,0.116124859092772,3,0.0978301755764434,0.836952433119211,"A"
"22","SHM","Corn-Cotton-Soybean",4,0.706521739130436,0.116124859092772,3,0.336960610359052,1.07608286790182,"A"
