"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover","Corn-Corn-Corn",0.299242424242425,0.0726280657149142,3,0.0681075048480939,0.530377343636756,"B"
"3","Wheat","Corn-Corn-Corn",0.401515151515153,0.0726280657149143,3,0.170380232120821,0.632650070909484,"AB"
"2","Clover","Corn-Corn-Corn",0.46969696969697,0.0726280657149142,3,0.238562050302639,0.700831889091301,"A"
"1","Wheat-Clover","Corn-Corn-Corn",0.484848484848485,0.0726280657149142,3,0.253713565454154,0.715983404242816,"A"
"5","SHM","Corn-Corn-Corn",0.450757575757577,0.0726280657149142,3,0.219622656363246,0.681892495151908,"A"
"9","No cover","Soybean-Soybean-Soybean",0.340122929762061,0.0742192117246373,3,0.10392427362792,0.576321585896202,"A"
"7","Wheat","Soybean-Soybean-Soybean",0.378378378378379,0.0724360668781983,3,0.147854484972573,0.608902271784185,"A"
"10","Clover","Soybean-Soybean-Soybean",0.363175675675676,0.0724360668781983,3,0.13265178226987,0.593699569081481,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",0.477588784556401,0.0742192117246373,3,0.24139012842226,0.713787440690543,"A"
"8","SHM","Soybean-Soybean-Soybean",0.456081081081081,0.0724360668781984,3,0.225557187675276,0.686604974486887,"A"
"14","No cover","Corn-Soybean-Corn",0.317977067977069,0.0706849671231919,3,0.0930259555167666,0.542928180437372,"A"
"15","Wheat","Corn-Soybean-Corn",0.307483619983621,0.0706849671231919,3,0.0825325075233185,0.532434732443923,"A"
"13","Clover","Corn-Soybean-Corn",0.379095004095005,0.0706849671231919,3,0.154143891634702,0.604046116555307,"A"
"11","Wheat-Clover","Corn-Soybean-Corn",0.386158886158887,0.0706849671231919,3,0.161207773698585,0.611109998619189,"A"
"12","SHM","Corn-Soybean-Corn",0.390970515970517,0.0706849671231919,3,0.166019403510214,0.615921628430819,"A"
"20","No cover","Corn-Cotton-Soybean",0.227195945945947,0.0855811944892006,3,-0.0451616102579763,0.499553502149869,"A"
"19","Wheat","Corn-Cotton-Soybean",0.287901182432433,0.0855811944892006,3,0.01554362622851,0.560258738636356,"A"
"18","Clover","Corn-Cotton-Soybean",0.273965371621622,0.0855811944892006,3,0.00160781541769894,0.546322927825545,"A"
"17","Wheat-Clover","Corn-Cotton-Soybean",0.237225506756757,0.0855811944892006,3,-0.0351320494471654,0.50958306296068,"A"
"16","SHM","Corn-Cotton-Soybean",0.35789695945946,0.0855811944892006,3,0.085539403255537,0.630254515663383,"A"
