"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",1.06083333333333,0.0490175387452851,3,0.904837648259299,1.21682901840737,"A"
"5","Wheat","Corn-Corn-Corn",1.055,0.0430707109263137,3,0.91792977514661,1.19207022485339,"A"
"4","Clover","Corn-Corn-Corn",1.12416666666667,0.04731158176283,3,0.97360009808842,1.27473323524491,"A"
"3","Wheat-Clover","Corn-Corn-Corn",1.045,0.0456653990239036,3,0.899672319597072,1.19032768040293,"A"
"2","SHM","Corn-Corn-Corn",1.09,0.0488690492052747,3,0.934476874913945,1.24552312508605,"A"
"9","No cover","Soybean-Soybean-Soybean",0.925833333333333,0.0490175387452851,3,0.769837648259299,1.08182901840737,"B"
"7","Wheat","Soybean-Soybean-Soybean",1.01166666666667,0.0430707109263137,3,0.874596441813277,1.14873689152006,"AB"
"10","Clover","Soybean-Soybean-Soybean",1.01083333333333,0.04731158176283,3,0.860266764755087,1.16139990191158,"AB"
"6","Wheat-Clover","Soybean-Soybean-Soybean",1.06,0.0456653990239037,3,0.914672319597071,1.20532768040293,"A"
"8","SHM","Soybean-Soybean-Soybean",1.05166666666667,0.0488690492052747,3,0.896143541580612,1.20718979175272,"AB"
"14","No cover","Corn-Soybean-Corn",1.01333333333333,0.049017538745285,3,0.8573376482593,1.16932901840737,"AB"
"15","Wheat","Corn-Soybean-Corn",1.025,0.0430707109263137,3,0.88792977514661,1.16207022485339,"B"
"13","Clover","Corn-Soybean-Corn",1.07,0.0473115817628299,3,0.919433431421754,1.22056656857825,"AB"
"11","Wheat-Clover","Corn-Soybean-Corn",1.13166666666667,0.0456653990239036,3,0.986338986263738,1.27699434706959,"A"
"12","SHM","Corn-Soybean-Corn",1.125,0.0488690492052747,3,0.969476874913946,1.28052312508605,"AB"
"18","No cover","Corn-Cotton-Soybean",1.05583333333333,0.0490175387452851,3,0.8998376482593,1.21182901840737,"A"
"20","Wheat","Corn-Cotton-Soybean",0.991666666666667,0.0430707109263137,3,0.854596441813277,1.12873689152006,"A"
"16","Clover","Corn-Cotton-Soybean",0.974166666666667,0.0473115817628299,3,0.82360009808842,1.12473323524491,"A"
"19","Wheat-Clover","Corn-Cotton-Soybean",1.03083333333333,0.0456653990239036,3,0.885505652930405,1.17616101373626,"A"
"17","SHM","Corn-Cotton-Soybean",1.04333333333333,0.0488690492052747,3,0.887810208247279,1.19885645841939,"A"
