"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"7","No cover","Corn-Corn-Corn",2,1.005,0.0687679471117723,3,0.786149700792194,1.2238502992078,"A"
"16","Wheat","Corn-Corn-Corn",2,1.0425,0.0555529626133942,3,0.86570567938344,1.21929432061656,"A"
"20","Clover","Corn-Corn-Corn",2,1.0375,0.0650847950195266,3,0.83037113455996,1.24462886544004,"A"
"17","Wheat-Clover","Corn-Corn-Corn",2,1.055,0.0614561570558064,3,0.859419080040813,1.25058091995919,"A"
"6","SHM","Corn-Corn-Corn",2,1.0625,0.0684501654250274,3,0.844661023947062,1.28033897605294,"A"
"5","No cover","Soybean-Soybean-Soybean",2,0.902499999999999,0.0687679471117722,3,0.683649700792194,1.1213502992078,"A"
"1","Wheat","Soybean-Soybean-Soybean",2,1.035,0.0555529626133941,3,0.85820567938344,1.21179432061656,"A"
"10","Clover","Soybean-Soybean-Soybean",2,1.02,0.0650847950195265,3,0.81287113455996,1.22712886544004,"A"
"19","Wheat-Clover","Soybean-Soybean-Soybean",2,1.025,0.0614561570558064,3,0.829419080040813,1.22058091995919,"A"
"8","SHM","Soybean-Soybean-Soybean",2,1.0175,0.0684501654250274,3,0.799661023947063,1.23533897605294,"A"
"13","No cover","Corn-Soybean-Corn",2,1.0075,0.0687679471117723,3,0.788649700792195,1.22635029920781,"A"
"14","Wheat","Corn-Soybean-Corn",2,0.9325,0.0555529626133941,3,0.75570567938344,1.10929432061656,"A"
"11","Clover","Corn-Soybean-Corn",2,1.025,0.0650847950195264,3,0.817871134559961,1.23212886544004,"A"
"12","Wheat-Clover","Corn-Soybean-Corn",2,1.045,0.0614561570558064,3,0.849419080040813,1.24058091995919,"A"
"18","SHM","Corn-Soybean-Corn",2,1.0725,0.0684501654250274,3,0.854661023947063,1.29033897605294,"A"
"2","No cover","Corn-Cotton-Soybean",2,0.9425,0.0687679471117723,3,0.723649700792195,1.16135029920781,"A"
"4","Wheat","Corn-Cotton-Soybean",2,0.9225,0.0555529626133941,3,0.74570567938344,1.09929432061656,"A"
"15","Clover","Corn-Cotton-Soybean",2,0.8975,0.0650847950195265,3,0.69037113455996,1.10462886544004,"A"
"9","Wheat-Clover","Corn-Cotton-Soybean",2,1.01,0.0614561570558064,3,0.814419080040813,1.20558091995919,"A"
"3","SHM","Corn-Cotton-Soybean",2,0.9575,0.0684501654250274,3,0.739661023947063,1.17533897605294,"A"
"29","No cover","Corn-Corn-Corn",3,1.0325,0.0687679471117723,3,0.813649700792195,1.2513502992078,"A"
"24","Wheat","Corn-Corn-Corn",3,1.0875,0.0555529626133942,3,0.91070567938344,1.26429432061656,"A"
"40","Clover","Corn-Corn-Corn",3,1.05,0.0650847950195265,3,0.84287113455996,1.25712886544004,"A"
"22","Wheat-Clover","Corn-Corn-Corn",3,1.0625,0.0614561570558064,3,0.866919080040814,1.25808091995919,"A"
"37","SHM","Corn-Corn-Corn",3,1.0875,0.0684501654250274,3,0.869661023947063,1.30533897605294,"A"
"35","No cover","Soybean-Soybean-Soybean",3,0.945,0.0687679471117722,3,0.726149700792195,1.1638502992078,"A"
"30","Wheat","Soybean-Soybean-Soybean",3,1.0225,0.0555529626133941,3,0.84570567938344,1.19929432061656,"A"
"39","Clover","Soybean-Soybean-Soybean",3,1.08,0.0650847950195265,3,0.87287113455996,1.28712886544004,"A"
"21","Wheat-Clover","Soybean-Soybean-Soybean",3,1.0975,0.0614561570558064,3,0.901919080040814,1.29308091995919,"A"
"27","SHM","Soybean-Soybean-Soybean",3,1.115,0.0684501654250275,3,0.897161023947062,1.33283897605294,"A"
"34","No cover","Corn-Soybean-Corn",3,1.0175,0.0687679471117722,3,0.798649700792195,1.2363502992078,"A"
"38","Wheat","Corn-Soybean-Corn",3,1.0875,0.0555529626133943,3,0.910705679383439,1.26429432061656,"A"
"36","Clover","Corn-Soybean-Corn",3,1.0825,0.0650847950195265,3,0.87537113455996,1.28962886544004,"A"
"31","Wheat-Clover","Corn-Soybean-Corn",3,1.14,0.0614561570558064,3,0.944419080040813,1.33558091995919,"A"
"26","SHM","Corn-Soybean-Corn",3,1.1625,0.0684501654250274,3,0.944661023947063,1.38033897605294,"A"
"33","No cover","Corn-Cotton-Soybean",3,1.07,0.0687679471117722,3,0.851149700792195,1.2888502992078,"A"
"25","Wheat","Corn-Cotton-Soybean",3,1.05,0.0555529626133943,3,0.873205679383439,1.22679432061656,"A"
"32","Clover","Corn-Cotton-Soybean",3,1.0625,0.0650847950195265,3,0.85537113455996,1.26962886544004,"A"
"28","Wheat-Clover","Corn-Cotton-Soybean",3,1.0725,0.0614561570558064,3,0.876919080040814,1.26808091995919,"A"
"23","SHM","Corn-Cotton-Soybean",3,1.09,0.0684501654250274,3,0.872161023947063,1.30783897605294,"A"
"47","No cover","Corn-Corn-Corn",4,1.145,0.0687679471117723,3,0.926149700792195,1.3638502992078,"A"
"52","Wheat","Corn-Corn-Corn",4,1.035,0.0555529626133942,3,0.858205679383439,1.21179432061656,"A"
