"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover","Corn-Corn-Corn",2,0.473531732984324,0.114367603570946,3,0.109562975555817,0.837500490412832,"AB"
"14","Wheat","Corn-Corn-Corn",2,0.344632909742279,0.083866891722688,3,0.0777310300437817,0.611534789440776,"AB"
"4","Clover","Corn-Corn-Corn",2,0.434779936453304,0.0870749215234725,3,0.15766867416806,0.711891198738547,"AB"
"3","Wheat-Clover","Corn-Corn-Corn",2,0.317084412433555,0.0839709635930946,3,0.0498513295955981,0.584317495271511,"AB"
"1","SHM","Corn-Corn-Corn",2,0.276396368000249,0.0699566192568003,3,0.0537631835163059,0.499029552484192,"AB"
"20","No cover","Soybean-Soybean-Soybean",2,0.593930049662467,0.114367603570946,3,0.22996129223396,0.957898807090975,"AB"
"12","Wheat","Soybean-Soybean-Soybean",2,0.441950919770326,0.0838668917226878,3,0.175049040071829,0.708852799468823,"AB"
"19","Clover","Soybean-Soybean-Soybean",2,0.422674326736108,0.0870749215234726,3,0.145563064450863,0.699785589021352,"AB"
"18","Wheat-Clover","Soybean-Soybean-Soybean",2,0.396872057096575,0.0839709635930947,3,0.129638974258617,0.664105139934532,"AB"
"13","SHM","Soybean-Soybean-Soybean",2,0.239447588078547,0.0699566192568002,3,0.0168144035946038,0.46208077256249,"AB"
"15","No cover","Corn-Soybean-Corn",2,0.682495509801665,0.114367603570945,3,0.318526752373158,1.04646426723017,"A"
"7","Wheat","Corn-Soybean-Corn",2,0.279590083170467,0.0838668917226879,3,0.0126882034719701,0.546491962868964,"AB"
"10","Clover","Corn-Soybean-Corn",2,0.48898369418809,0.0870749215234726,3,0.211872431902846,0.766094956473334,"AB"
"2","Wheat-Clover","Corn-Soybean-Corn",2,0.411946019247063,0.0839709635930946,3,0.144712936409106,0.67917910208502,"AB"
"11","SHM","Corn-Soybean-Corn",2,0.179551824575366,0.0699566192568004,3,-0.0430813599085773,0.40218500905931,"B"
"17","No cover","Corn-Cotton-Soybean",2,0.487669249235235,0.114367603570945,3,0.123700491806728,0.851638006663742,"AB"
"16","Wheat","Corn-Cotton-Soybean",2,0.242455900004067,0.0838668917226878,3,-0.0244459796944294,0.509357779702564,"AB"
"9","Clover","Corn-Cotton-Soybean",2,0.378515935331981,0.0870749215234726,3,0.101404673046737,0.655627197617225,"AB"
"8","Wheat-Clover","Corn-Cotton-Soybean",2,0.339812065791618,0.0839709635930946,3,0.0725789829536608,0.607045148629574,"AB"
"6","SHM","Corn-Cotton-Soybean",2,0.222971268144073,0.0699566192568004,3,0.000338083660129634,0.445604452628017,"AB"
"37","No cover","Corn-Corn-Corn",3,0.72617358276696,0.114367603570945,3,0.362204825338453,1.09014234019547,"ABCDHAHDHEHG"
"36","Wheat","Corn-Corn-Corn",3,0.164931832696753,0.0838668917226879,3,-0.101970047001744,0.43183371239525,"EFGHBHCHFHHAHHB"
"32","Clover","Corn-Corn-Corn",3,0.380675061116921,0.0870749215234727,3,0.103563798831677,0.657786323402166,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"33","Wheat-Clover","Corn-Corn-Corn",3,0.233323169457647,0.0839709635930948,3,-0.0339099133803107,0.500556252295604,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"26","SHM","Corn-Corn-Corn",3,0.117013151415039,0.0699566192568006,3,-0.105620033068905,0.339646335898983,"HHAHHB"
"25","No cover","Soybean-Soybean-Soybean",3,0.771944795099394,0.114367603570946,3,0.407976037670887,1.1359135525279,"ACEGHAHCHEHF"
"39","Wheat","Soybean-Soybean-Soybean",3,0.255887102649271,0.083866891722688,3,-0.0110147770492265,0.522788982347768,"BDFHBHDHGHHAHHB"
"40","Clover","Soybean-Soybean-Soybean",3,0.518148479892886,0.0870749215234728,3,0.241037217607642,0.795259742178131,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"38","Wheat-Clover","Soybean-Soybean-Soybean",3,0.332840084658279,0.0839709635930948,3,0.0656070018203214,0.600073167496236,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"34","SHM","Soybean-Soybean-Soybean",3,0.238540595794023,0.0699566192568006,3,0.0159074113100791,0.461173780277967,"BDFHBHDHGHHAHHB"
"35","No cover","Corn-Soybean-Corn",3,0.783048088336306,0.114367603570946,3,0.419079330907799,1.14701684576481,"ABEFHAHBHCHD"
"23","Wheat","Corn-Soybean-Corn",3,0.194346927670471,0.083866891722688,3,-0.0725549520280261,0.461248807368968,"CDGHEHFHGHHAHHB"
"24","Clover","Corn-Soybean-Corn",3,0.350748150286572,0.0870749215234728,3,0.0736368880013273,0.627859412571817,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"30","Wheat-Clover","Corn-Soybean-Corn",3,0.273856223376978,0.0839709635930945,3,0.00662314053902169,0.541089306214935,"CDGHEHFHGHHAHHB"
"31","SHM","Corn-Soybean-Corn",3,0.0935514315682881,0.0699566192568006,3,-0.129081752915656,0.316184616052232,"HHAHHB"
"22","No cover","Corn-Cotton-Soybean",3,0.722481307100847,0.114367603570946,3,0.35851254967234,1.08645006452935,"ABCDEFGHHA"
"21","Wheat","Corn-Cotton-Soybean",3,0.137276229620641,0.0838668917226881,3,-0.129625650077856,0.404178109319139,"HAHBHCHDHEHFHGHHB"
"29","Clover","Corn-Cotton-Soybean",3,0.234413807490688,0.0870749215234728,3,-0.0426974547945567,0.511525069775933,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"27","Wheat-Clover","Corn-Cotton-Soybean",3,0.249016046948917,0.083970963593095,3,-0.0182170358890406,0.516249129786875,"ABCDEFGHAHBHCHDHEHFHGHHAHHB"
"28","SHM","Corn-Cotton-Soybean",3,0.187396612870651,0.0699566192568006,3,-0.0352365716132926,0.410029797354595,"HAHBHCHDHEHFHGHHB"
"57","No cover","Corn-Corn-Corn",4,0.729958970012263,0.114367603570945,3,0.365990212583757,1.09392772744077,"A"
"46","Wheat","Corn-Corn-Corn",4,0.404697698945536,0.0838668917226878,3,0.137795819247039,0.671599578644032,"A"
"58","Clover","Corn-Corn-Corn",4,0.545569829215176,0.0870749215234726,3,0.268458566929932,0.822681091500421,"A"
"52","Wheat-Clover","Corn-Corn-Corn",4,0.475393784585441,0.0839709635930947,3,0.208160701747484,0.742626867423398,"A"
"48","SHM","Corn-Corn-Corn",4,0.434240073813993,0.0699566192568004,3,0.21160688933005,0.656873258297937,"A"
"42","No cover","Soybean-Soybean-Soybean",4,0.715859095914845,0.114367603570945,3,0.351890338486338,1.07982785334335,"A"
"55","Wheat","Soybean-Soybean-Soybean",4,0.577723766507913,0.083866891722688,3,0.310821886809415,0.84462564620641,"A"
"45","Clover","Soybean-Soybean-Soybean",4,0.619708291658752,0.0870749215234726,3,0.342597029373508,0.896819553943997,"A"
"56","Wheat-Clover","Soybean-Soybean-Soybean",4,0.475973517062576,0.083970963593095,3,0.208740434224618,0.743206599900533,"A"
"54","SHM","Soybean-Soybean-Soybean",4,0.494580095777943,0.0699566192568003,3,0.271946911293999,0.717213280261886,"A"
"59","No cover","Corn-Soybean-Corn",4,0.690551533716638,0.114367603570945,3,0.326582776288131,1.05452029114515,"A"
"44","Wheat","Corn-Soybean-Corn",4,0.571887070431478,0.0838668917226879,3,0.304985190732981,0.838788950129974,"A"
"60","Clover","Corn-Soybean-Corn",4,0.599499253159256,0.0870749215234726,3,0.322387990874011,0.8766105154445,"A"
"50","Wheat-Clover","Corn-Soybean-Corn",4,0.547228571465491,0.0839709635930945,3,0.279995488627535,0.814461654303448,"A"
"47","SHM","Corn-Soybean-Corn",4,0.464027267999627,0.0699566192568006,3,0.241394083515683,0.686660452483571,"A"
"49","No cover","Corn-Cotton-Soybean",4,0.563424492947205,0.114367603570946,3,0.199455735518697,0.927393250375712,"A"
"41","Wheat","Corn-Cotton-Soybean",4,0.370638331792741,0.0838668917226879,3,0.103736452094244,0.637540211491238,"A"
"43","Clover","Corn-Cotton-Soybean",4,0.508506974843352,0.0870749215234727,3,0.231395712558107,0.785618237128596,"A"
"51","Wheat-Clover","Corn-Cotton-Soybean",4,0.425695271718705,0.0839709635930945,3,0.158462188880748,0.692928354556661,"A"
"53","SHM","Corn-Cotton-Soybean",4,0.444446781995982,0.0699566192568005,3,0.221813597512038,0.667079966479926,"A"
