"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover",2,0.559406635420923,0.0571838018066311,3,0.377422256639334,0.741391014202512,"A"
"3","Wheat",2,0.327157453171785,0.0419334458901972,3,0.193706513230713,0.460608393112857,"BC"
"2","Clover",2,0.431238473177371,0.0435374607895265,3,0.292682841946308,0.569794104408433,"AB"
"4","Wheat-Clover",2,0.366428638642202,0.0419854818253647,3,0.232812097131514,0.500045180152891,"ABC"
"1","SHM",2,0.229591762199559,0.0349783096629906,3,0.118275169847505,0.340908354551613,"C"
"10","No cover",3,0.750911943325877,0.0571838018066311,3,0.568927564544288,0.932896322107466,"A"
"8","Wheat",3,0.188110523159284,0.0419334458901974,3,0.054659583218211,0.321561463100357,"C"
"7","Clover",3,0.370996374696767,0.0435374607895268,3,0.232440743465703,0.509552005927831,"B"
"9","Wheat-Clover",3,0.272258881110455,0.041985481825365,3,0.138642339599766,0.405875422621144,"BC"
"6","SHM",3,0.159125447912,0.0349783096629909,3,0.0478088555599455,0.270442040264055,"C"
"15","No cover",4,0.674948523147738,0.0571838018066311,3,0.492964144366149,0.856932901929327,"A"
"12","Wheat",4,0.481236716919417,0.041933445890197,3,0.347785776978345,0.614687656860489,"AB"
"14","Clover",4,0.568321087219134,0.0435374607895266,3,0.429765455988071,0.706876718450197,"AB"
"13","Wheat-Clover",4,0.481072786208053,0.0419854818253647,3,0.347456244697365,0.614689327718741,"AB"
"11","SHM",4,0.459323554896886,0.0349783096629909,3,0.348006962544832,0.570640147248941,"B"
