"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","Corn-Corn-Corn",2,0.369285071922742,0.0413174458207849,3,0.237794519126625,0.500775624718859,"A"
"4","Soybean-Soybean-Soybean",2,0.418974988268804,0.0413174458207849,3,0.287484435472688,0.550465541064921,"A"
"1","Corn-Soybean-Corn",2,0.40851342619653,0.0413174458207849,3,0.277022873400413,0.540003978992647,"A"
"2","Corn-Cotton-Soybean",2,0.334284883701395,0.0413174458207849,3,0.202794330905278,0.465775436497512,"A"
"7","Corn-Corn-Corn",3,0.324423359490664,0.0413174458207851,3,0.192932806694547,0.455913912286781,"A"
"8","Soybean-Soybean-Soybean",3,0.423472211618771,0.0413174458207851,3,0.291981658822653,0.554962764414888,"A"
"5","Corn-Soybean-Corn",3,0.339110164247723,0.041317445820785,3,0.207619611451606,0.47060071704384,"A"
"6","Corn-Cotton-Soybean",3,0.306116800806349,0.0413174458207853,3,0.174626248010231,0.437607353602467,"A"
"11","Corn-Corn-Corn",4,0.517972071314482,0.0413174458207848,3,0.386481518518366,0.649462624110598,"A"
"12","Soybean-Soybean-Soybean",4,0.576768953384406,0.041317445820785,3,0.445278400588289,0.708259506180523,"A"
"9","Corn-Soybean-Corn",4,0.574638739354498,0.0413174458207849,3,0.443148186558381,0.706129292150615,"A"
"10","Corn-Cotton-Soybean",4,0.462542370659597,0.0413174458207851,3,0.33105181786348,0.594032923455714,"A"
