"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover",2,59.314479125,5.28040314799954,3,42.5098796362404,76.1190786137596,"A"
"5","Wheat",2,61.8369715625,5.02214936449843,3,45.854250872869,77.8196922521309,"A"
"4","Clover",2,54.6902256875,4.94680132663481,3,38.9472960825785,70.4331552924215,"A"
"3","Wheat-Clover",2,62.062951375,5.5893236773101,3,44.2752288891097,79.8506738608903,"A"
"2","SHM",2,55.098072875,4.54377767702911,3,40.6377443947081,69.5584013552919,"A"
"9","No cover",3,34.3718895625,5.28040314799954,3,17.5672900737404,51.1764890512597,"A"
"8","Wheat",3,37.0046654375,5.02214936449845,3,21.021944747869,52.987386127131,"A"
"7","Clover",3,41.8661925625,4.94680132663481,3,26.1232629575785,57.6091221674215,"A"
"6","Wheat-Clover",3,46.3382695625,5.58932367731011,3,28.5505470766097,64.1259920483903,"A"
"10","SHM",3,38.2530570625,4.54377767702911,3,23.7927285822081,52.7133855427919,"A"
"13","No cover",4,58.0470625,5.28040314799953,3,41.2424630112404,74.8516619887596,"A"
"12","Wheat",4,59.6958125,5.02214936449844,3,43.713091810369,75.678533189631,"A"
"11","Clover",4,61.6805625,4.94680132663482,3,45.9376328950785,77.4234921049215,"A"
"15","Wheat-Clover",4,57.7685625,5.5893236773101,3,39.9808400141097,75.5562849858902,"A"
"14","SHM",4,67.5185,4.54377767702909,3,53.0581715197082,81.9788284802918,"A"
