"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Corn-Corn-Corn",2,57.39127365,5.52120982895044,3,39.8203198291606,74.9622274708394,"A"
"1","Soybean-Soybean-Soybean",2,55.36956105,5.52120982895044,3,37.7986072291605,72.9405148708394,"A"
"4","Corn-Soybean-Corn",2,54.563547,5.52120982895045,3,36.9925931791606,72.1345008208395,"A"
"3","Corn-Cotton-Soybean",2,67.0777788,5.52120982895044,3,49.5068249791606,84.6487326208394,"A"
"7","Corn-Corn-Corn",3,41.07132415,5.52120982895044,3,23.5003703291606,58.6422779708394,"A"
"8","Soybean-Soybean-Soybean",3,35.36345105,5.52120982895044,3,17.7924972291606,52.9344048708395,"A"
"5","Corn-Soybean-Corn",3,38.96263465,5.52120982895046,3,21.3916808291606,56.5335884708395,"A"
"6","Corn-Cotton-Soybean",3,42.8698495,5.52120982895045,3,25.2988956791605,60.4408033208394,"A"
"12","Corn-Corn-Corn",4,62.1918,5.52120982895043,3,44.6208461791606,79.7627538208394,"A"
"11","Soybean-Soybean-Soybean",4,55.0238,5.52120982895044,3,37.4528461791606,72.5947538208394,"A"
"10","Corn-Soybean-Corn",4,63.5444,5.52120982895045,3,45.9734461791606,81.1153538208395,"A"
"9","Corn-Cotton-Soybean",4,63.0084,5.52120982895045,3,45.4374461791605,80.5793538208394,"A"
