"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"5","No cover",2,0.1899660288125,0.0038449182034333,3,0.177729783081866,0.202202274543134,"A"
"2","Wheat",2,0.1967541954375,0.00368753876835614,3,0.185018801308555,0.208489589566445,"A"
"4","Clover",2,0.193355683,0.00392476514433248,3,0.180865328667313,0.205846037332687,"A"
"3","Wheat-Clover",2,0.1976505329375,0.00449027093563037,3,0.18336048678868,0.21194057908632,"A"
"1","SHM",2,0.19893910775,0.00390617548693468,3,0.186507914003815,0.211370301496185,"A"
"10","No cover",3,0.182737698625,0.0038449182034333,3,0.170501452894366,0.194973944355634,"A"
"8","Wheat",3,0.1851705469375,0.00368753876835615,3,0.173435152808555,0.196905941066446,"A"
"7","Clover",3,0.184657410125,0.00392476514433247,3,0.172167055792313,0.197147764457687,"A"
"9","Wheat-Clover",3,0.184978103375,0.00449027093563038,3,0.17068805722618,0.19926814952382,"A"
"6","SHM",3,0.189406485375,0.00390617548693469,3,0.176975291628815,0.201837679121185,"A"
"11","No cover",4,0.1912125,0.0038449182034333,3,0.178976254269366,0.203448745730634,"A"
"14","Wheat",4,0.1905625,0.00368753876835614,3,0.178827105871055,0.202297894128945,"A"
"15","Clover",4,0.1882375,0.00392476514433248,3,0.175747145667313,0.200727854332687,"A"
"12","Wheat-Clover",4,0.1920375,0.00449027093563038,3,0.17774745385118,0.20632754614882,"A"
"13","SHM",4,0.19211875,0.00390617548693469,3,0.179687556253815,0.204549943746185,"A"
