"","Cover","Cropping.system","response","SE","df","lower.CL","upper.CL",".group"
"1","No cover","Corn-Corn-Corn",6.35904533333333,0.26163530020413,3,5.5264050388669,7.19168562779976,"A"
"5","Wheat","Corn-Corn-Corn",6.23231678715046,0.253877665278331,3,5.42436474929138,7.04026882500954,"A"
"4","Clover","Corn-Corn-Corn",6.36715399999999,0.263928906506767,3,5.52721442662997,7.20709357337002,"A"
"3","Wheat-Clover","Corn-Corn-Corn",6.29255045381713,0.216433919797259,3,5.60376112542027,6.98133978221398,"A"
"2","SHM","Corn-Corn-Corn",6.59379333333332,0.281989272861945,3,5.69637761378419,7.49120905288246,"A"
"9","No cover","Soybean-Soybean-Soybean",5.03615233333333,0.261635300204131,3,4.2035120388669,5.86879262779976,"B"
"10","Wheat","Soybean-Soybean-Soybean",5.91637533333333,0.242776520222608,3,5.14375209354125,6.6889985731254,"AB"
"8","Clover","Soybean-Soybean-Soybean",6.05775099999999,0.263928906506767,3,5.21781142662997,6.89769057337002,"A"
"6","Wheat-Clover","Soybean-Soybean-Soybean",6.19648433333333,0.207584282188865,3,5.53585850144641,6.85711016522025,"A"
"7","SHM","Soybean-Soybean-Soybean",6.16410750387344,0.295471281846429,3,5.22378601464383,7.10442899310304,"A"
"15","No cover","Corn-Soybean-Corn",5.93774333333333,0.261635300204131,3,5.1051030388669,6.77038362779976,"A"
"14","Wheat","Corn-Soybean-Corn",5.98377633333333,0.24277652022261,3,5.21115309354125,6.75639957312541,"A"
"13","Clover","Corn-Soybean-Corn",6.133398,0.263928906506767,3,5.29345842662997,6.97333757337003,"A"
"12","Wheat-Clover","Corn-Soybean-Corn",6.43412633333333,0.207584282188864,3,5.77350050144641,7.09475216522025,"A"
"11","SHM","Corn-Soybean-Corn",6.55863566666666,0.281989272861945,3,5.66121994711752,7.4560513862158,"A"
"18","No cover","Corn-Cotton-Soybean",6.07036733333333,0.261635300204131,3,5.2377270388669,6.90300762779976,"A"
"20","Wheat","Corn-Cotton-Soybean",5.65707233333333,0.242776520222609,3,4.88444909354125,6.42969557312541,"A"
"16","Clover","Corn-Cotton-Soybean",5.73354133333333,0.263928906506767,3,4.8936017599633,6.57348090670336,"A"
"19","Wheat-Clover","Corn-Cotton-Soybean",6.05953733333333,0.207584282188864,3,5.39891150144641,6.72016316522025,"A"
"17","SHM","Corn-Cotton-Soybean",6.30590466666666,0.281989272861945,3,5.40848894711753,7.2033203862158,"A"
