"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","Corn-Corn-Corn",2,101.982115,15.0348721746083,3,54.1344415975051,149.829788402495,"A"
"3","Soybean-Soybean-Soybean",2,94.84457,15.0348721746082,3,46.9968965975052,142.692243402495,"A"
"2","Corn-Soybean-Corn",2,127.649795,15.0348721746083,3,79.8021215975051,175.497468402495,"A"
"1","Corn-Cotton-Soybean",2,103.778035,15.0348721746083,3,55.9303615975052,151.625708402495,"A"
"7","Corn-Corn-Corn",3,98.2425000000001,15.0348721746082,3,50.3948265975053,146.090173402495,"A"
"8","Soybean-Soybean-Soybean",3,98.5225000000001,15.0348721746082,3,50.6748265975053,146.370173402495,"A"
"5","Corn-Soybean-Corn",3,105.1975,15.0348721746083,3,57.3498265975052,153.045173402495,"A"
"6","Corn-Cotton-Soybean",3,104.5635,15.0348721746082,3,56.7158265975052,152.411173402495,"A"
"10","Corn-Corn-Corn",4,75.3310000000001,15.0348721746082,3,27.4833265975052,123.178673402495,"A"
"9","Soybean-Soybean-Soybean",4,82.4975,15.0348721746082,3,34.6498265975052,130.345173402495,"A"
"12","Corn-Soybean-Corn",4,89.5340000000001,15.0348721746083,3,41.6863265975051,137.381673402495,"A"
"11","Corn-Cotton-Soybean",4,72.9070000000001,15.0348721746082,3,25.0593265975052,120.754673402495,"A"
