"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"14","No cover","Corn-Corn-Corn",2,2.9297558,0.471266473220412,3,1.42997555349561,4.42953604650438,"A"
"9","Wheat","Corn-Corn-Corn",2,3.53532669999999,0.517906279772019,3,1.8871177734563,5.18353562654368,"A"
"16","Clover","Corn-Corn-Corn",2,3.59477519999999,0.498767825416135,3,2.00747337681003,5.18207702318996,"A"
"17","Wheat-Clover","Corn-Corn-Corn",2,3.70182449999999,0.410190134000886,3,2.39641642358504,5.00723257641494,"A"
"12","SHM","Corn-Corn-Corn",2,3.57529759999999,0.521341638308458,3,1.91615582937468,5.2344393706253,"A"
"19","No cover","Soybean-Soybean-Soybean",2,2.84203349999999,0.471266473220414,3,1.3422532534956,4.34181374650438,"A"
"10","Wheat","Soybean-Soybean-Soybean",2,4.11338579999999,0.517906279772018,3,2.4651768734563,5.76159472654368,"A"
"13","Clover","Soybean-Soybean-Soybean",2,3.23829999999999,0.498767825416135,3,1.65099817681002,4.82560182318996,"A"
"2","Wheat-Clover","Soybean-Soybean-Soybean",2,3.5158935,0.410190134000886,3,2.21048542358505,4.82130157641495,"A"
"7","SHM","Soybean-Soybean-Soybean",2,2.77501209999999,0.521341638308459,3,1.11587032937468,4.43415387062531,"A"
"20","No cover","Corn-Soybean-Corn",2,3.85067109999999,0.471266473220414,3,2.3508908534956,5.35045134650438,"A"
"5","Wheat","Corn-Soybean-Corn",2,3.4925215,0.517906279772018,3,1.84431257345631,5.14073042654369,"A"
"8","Clover","Corn-Soybean-Corn",2,3.68712219999999,0.498767825416136,3,2.09982037681002,5.27442402318996,"A"
"1","Wheat-Clover","Corn-Soybean-Corn",2,3.85108949999999,0.410190134000886,3,2.54568142358505,5.15649757641494,"A"
"18","SHM","Corn-Soybean-Corn",2,4.38541089999999,0.521341638308458,3,2.72626912937469,6.0445526706253,"A"
"3","No cover","Corn-Cotton-Soybean",2,3.47406019999999,0.471266473220414,3,1.9742799534956,4.97384044650438,"A"
"4","Wheat","Corn-Cotton-Soybean",2,3.19805199999999,0.517906279772019,3,1.5498430734563,4.84626092654369,"A"
"15","Clover","Corn-Cotton-Soybean",2,2.68338199999999,0.498767825416136,3,1.09608017681002,4.27068382318997,"A"
"6","Wheat-Clover","Corn-Cotton-Soybean",2,4.055482,0.410190134000886,3,2.75007392358505,5.36089007641494,"A"
"11","SHM","Corn-Cotton-Soybean",2,3.02762049999999,0.521341638308459,3,1.36847872937468,4.6867622706253,"A"
"23","No cover","Corn-Corn-Corn",3,3.30874999999999,0.471266473220415,3,1.8089697534956,4.80853024650438,"A"
"36","Wheat","Corn-Corn-Corn",3,4.188,0.51790627977202,3,2.5397910734563,5.83620892654369,"A"
"21","Clover","Corn-Corn-Corn",3,4.22474999999999,0.498767825416135,3,2.63744817681002,5.81205182318996,"A"
"40","Wheat-Clover","Corn-Corn-Corn",3,3.95775,0.410190134000886,3,2.65234192358505,5.26315807641495,"A"
"39","SHM","Corn-Corn-Corn",3,5.011,0.521341638308458,3,3.35185822937469,6.6701417706253,"A"
"33","No cover","Soybean-Soybean-Soybean",3,3.46149999999999,0.471266473220414,3,1.9617197534956,4.96128024650439,"A"
"34","Wheat","Soybean-Soybean-Soybean",3,3.50174999999999,0.517906279772018,3,1.85354107345631,5.14995892654368,"A"
"37","Clover","Soybean-Soybean-Soybean",3,3.59199999999999,0.498767825416136,3,2.00469817681002,5.17930182318997,"A"
"32","Wheat-Clover","Soybean-Soybean-Soybean",3,4.154,0.410190134000887,3,2.84859192358504,5.45940807641495,"A"
"38","SHM","Soybean-Soybean-Soybean",3,4.014,0.521341638308459,3,2.35485822937468,5.67314177062531,"A"
"35","No cover","Corn-Soybean-Corn",3,3.849,0.471266473220414,3,2.34921975349561,5.34878024650439,"A"
"29","Wheat","Corn-Soybean-Corn",3,3.43575,0.517906279772019,3,1.7875410734563,5.08395892654369,"A"
"26","Clover","Corn-Soybean-Corn",3,4.05749999999999,0.498767825416136,3,2.47019817681002,5.64480182318997,"A"
"27","Wheat-Clover","Corn-Soybean-Corn",3,4.052,0.410190134000886,3,2.74659192358505,5.35740807641494,"A"
"31","SHM","Corn-Soybean-Corn",3,3.82299999999999,0.521341638308459,3,2.16385822937468,5.4821417706253,"A"
"22","No cover","Corn-Cotton-Soybean",3,3.31725,0.471266473220414,3,1.8174697534956,4.81703024650439,"A"
"28","Wheat","Corn-Cotton-Soybean",3,4.04274999999999,0.517906279772019,3,2.3945410734563,5.69095892654369,"A"
"30","Clover","Corn-Cotton-Soybean",3,3.70125,0.498767825416136,3,2.11394817681002,5.28855182318997,"A"
"25","Wheat-Clover","Corn-Cotton-Soybean",3,3.102,0.410190134000886,3,1.79659192358505,4.40740807641495,"A"
"24","SHM","Corn-Cotton-Soybean",3,3.71075,0.521341638308459,3,2.05160822937469,5.36989177062531,"A"
"51","No cover","Corn-Corn-Corn",4,1.98949999999999,0.471266473220414,3,0.489719753495603,3.48928024650438,"A"
"58","Wheat","Corn-Corn-Corn",4,2.58325,0.517906279772019,3,0.935041073456305,4.23145892654369,"A"
"48","Clover","Corn-Corn-Corn",4,2.85999999999999,0.498767825416136,3,1.27269817681002,4.44730182318996,"A"
"46","Wheat-Clover","Corn-Corn-Corn",4,2.40525,0.410190134000886,3,1.09984192358505,3.71065807641494,"A"
"55","SHM","Corn-Corn-Corn",4,2.3115,0.521341638308459,3,0.652358229374687,3.97064177062531,"A"
"44","No cover","Soybean-Soybean-Soybean",4,2.255,0.471266473220415,3,0.755219753495605,3.75478024650439,"A"
"56","Wheat","Soybean-Soybean-Soybean",4,2.6285,0.517906279772018,3,0.980291073456307,4.27670892654368,"A"
"43","Clover","Soybean-Soybean-Soybean",4,1.95875,0.498767825416136,3,0.371448176810024,3.54605182318997,"A"
"60","Wheat-Clover","Soybean-Soybean-Soybean",4,2.7875,0.410190134000887,3,1.48209192358504,4.09290807641495,"A"
"54","SHM","Soybean-Soybean-Soybean",4,1.93549999999999,0.521341638308458,3,0.276358229374685,3.5946417706253,"A"
"41","No cover","Corn-Soybean-Corn",4,2.698,0.471266473220414,3,1.1982197534956,4.19778024650439,"A"
"59","Wheat","Corn-Soybean-Corn",4,2.589,0.517906279772019,3,0.940791073456306,4.23720892654369,"A"
"57","Clover","Corn-Soybean-Corn",4,2.17674999999999,0.498767825416137,3,0.589448176810021,3.76405182318997,"A"
"50","Wheat-Clover","Corn-Soybean-Corn",4,3.20525,0.410190134000886,3,1.89984192358505,4.51065807641494,"A"
"45","SHM","Corn-Soybean-Corn",4,2.32949999999999,0.521341638308459,3,0.670358229374684,3.9886417706253,"A"
"47","No cover","Corn-Cotton-Soybean",4,2.011,0.471266473220414,3,0.511219753495605,3.51078024650439,"A"
"53","Wheat","Corn-Cotton-Soybean",4,2.55824999999999,0.517906279772019,3,0.910041073456302,4.20645892654368,"A"
"42","Clover","Corn-Cotton-Soybean",4,2.07124999999999,0.498767825416135,3,0.483948176810026,3.65855182318996,"A"
"52","Wheat-Clover","Corn-Cotton-Soybean",4,2.07,0.410190134000887,3,0.764591923585044,3.37540807641495,"A"
"49","SHM","Corn-Cotton-Soybean",4,1.97875,0.521341638308459,3,0.319608229374685,3.6378917706253,"A"
