"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover",2,3.27413014999999,0.247268397681418,3,2.48721175138534,4.06104854861465,"A"
"3","Wheat",2,3.58482149999999,0.269583691927679,3,2.72688587566001,4.44275712433998,"A"
"2","Clover",2,3.30089484999999,0.260405403580877,3,2.47216863549812,4.12962106450187,"A"
"1","Wheat-Clover",2,3.78107237499999,0.218363515277737,3,3.0861422125956,4.47600253740439,"A"
"5","SHM",2,3.44083527499999,0.271234058066223,3,2.57764744904003,4.30402310095995,"A"
"10","No cover",3,3.48412499999999,0.247268397681419,3,2.69720660138534,4.27104339861465,"A"
"8","Wheat",3,3.7920625,0.26958369192768,3,2.93412687566001,4.64999812433998,"A"
"7","Clover",3,3.89387499999999,0.260405403580878,3,3.06514878549812,4.72260121450187,"A"
"9","Wheat-Clover",3,3.8164375,0.218363515277737,3,3.1215073375956,4.51136766240439,"A"
"6","SHM",3,4.1396875,0.271234058066224,3,3.27649967404004,5.00287532595996,"A"
"12","No cover",4,2.238375,0.247268397681419,3,1.45145660138534,3.02529339861465,"A"
"11","Wheat",4,2.58975,0.269583691927679,3,1.73181437566001,3.44768562433998,"A"
"13","Clover",4,2.26668749999999,0.260405403580878,3,1.43796128549812,3.09541371450187,"A"
"15","Wheat-Clover",4,2.617,0.218363515277738,3,1.9220698375956,3.31193016240439,"A"
"14","SHM",4,2.13881249999999,0.271234058066224,3,1.27562467404003,3.00200032595996,"A"
