"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","No cover","Corn-Corn-Corn",2,67.65,5.75591216320045,3,49.3321186026852,85.9678813973148,"A"
"1","Wheat","Corn-Corn-Corn",2,79.1675,4.12536143169331,3,66.0387587537478,92.2962412462523,"A"
"15","Clover","Corn-Corn-Corn",2,73.145,6.23880390082833,3,53.2903415764193,92.9996584235807,"A"
"20","Wheat-Clover","Corn-Corn-Corn",2,80.4675,4.31572251486676,3,66.7329448279326,94.2020551720675,"A"
"6","SHM","Corn-Corn-Corn",2,78.5725,5.25661821069819,3,61.8435947970765,95.3014052029235,"A"
"5","No cover","Soybean-Soybean-Soybean",2,68.1275,5.75591216320043,3,49.8096186026853,86.4453813973148,"A"
"16","Wheat","Soybean-Soybean-Soybean",2,79.2725,4.12536143169331,3,66.1437587537477,92.4012412462523,"A"
"11","Clover","Soybean-Soybean-Soybean",2,78.3625,6.23880390082832,3,58.5078415764193,98.2171584235807,"A"
"19","Wheat-Clover","Soybean-Soybean-Soybean",2,79.4375,4.31572251486675,3,65.7029448279326,93.1720551720674,"A"
"18","SHM","Soybean-Soybean-Soybean",2,80.0975000000001,5.25661821069818,3,63.3685947970766,96.8264052029235,"A"
"8","No cover","Corn-Soybean-Corn",2,70.95,5.75591216320043,3,52.6321186026852,89.2678813973148,"A"
"14","Wheat","Corn-Soybean-Corn",2,73.86,4.12536143169331,3,60.7312587537477,86.9887412462523,"A"
"17","Clover","Corn-Soybean-Corn",2,80.08,6.23880390082831,3,60.2253415764194,99.9346584235806,"A"
"12","Wheat-Clover","Corn-Soybean-Corn",2,76.2775,4.31572251486676,3,62.5429448279326,90.0120551720674,"A"
"3","SHM","Corn-Soybean-Corn",2,77.9475,5.25661821069819,3,61.2185947970765,94.6764052029235,"A"
"7","No cover","Corn-Cotton-Soybean",2,67.095,5.75591216320044,3,48.7771186026852,85.4128813973148,"A"
"13","Wheat","Corn-Cotton-Soybean",2,64.9425,4.12536143169331,3,51.8137587537477,78.0712412462523,"A"
"10","Clover","Corn-Cotton-Soybean",2,62.5175,6.23880390082832,3,42.6628415764193,82.3721584235807,"A"
"9","Wheat-Clover","Corn-Cotton-Soybean",2,65.87,4.31572251486675,3,52.1354448279326,79.6045551720674,"A"
