"","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"3","Corn-Corn-Corn",2,75.8005,3.33257537029317,3,65.194757825731,86.406242174269,"A"
"4","Soybean-Soybean-Soybean",2,77.0595,3.33257537029316,3,66.4537578257311,87.665242174269,"A"
"1","Corn-Soybean-Corn",2,75.823,3.33257537029317,3,65.217257825731,86.428742174269,"A"
"2","Corn-Cotton-Soybean",2,64.172,3.33257537029317,3,53.566257825731,74.777742174269,"A"
"8","Corn-Corn-Corn",3,69.875825,3.33257537029317,3,59.270082825731,80.481567174269,"A"
"7","Soybean-Soybean-Soybean",3,65.87495,3.33257537029315,3,55.2692078257311,76.4806921742689,"A"
"6","Corn-Soybean-Corn",3,71.909825,3.33257537029317,3,61.304082825731,82.515567174269,"A"
"5","Corn-Cotton-Soybean",3,69.133325,3.33257537029317,3,58.527582825731,79.739067174269,"A"
"12","Corn-Corn-Corn",4,47.67077885,3.33257537029317,3,37.065036675731,58.276521024269,"A"
"11","Soybean-Soybean-Soybean",4,41.93377885,3.33257537029315,3,31.3280366757311,52.5395210242689,"A"
"10","Corn-Soybean-Corn",4,52.21390385,3.33257537029317,3,41.608161675731,62.819646024269,"A"
"9","Corn-Cotton-Soybean",4,42.40275885,3.33257537029317,3,31.797016675731,53.008501024269,"A"
