"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"4","No cover",2,0.690046991633073,0.0659174726611732,3,0.480268174308883,0.899825808957263,"A"
"3","Wheat",2,0.496241024961753,0.0661859753621068,3,0.285607712209018,0.706874337714488,"B"
"2","Clover",2,0.692687273774224,0.0689918593375035,3,0.473124385930933,0.912250161617515,"A"
"1","Wheat-Clover",2,0.522519078177944,0.0657472192619024,3,0.313282083155225,0.731756073200663,"B"
"5","SHM",2,0.628187615131887,0.0685336410727933,3,0.410082982312136,0.846292247951638,"AB"
"10","No cover",3,0.409232884453086,0.0659174726611732,3,0.199454067128896,0.619011701777277,"A"
"8","Wheat",3,0.37584559113654,0.0661859753621068,3,0.165212278383805,0.586478903889275,"A"
"7","Clover",3,0.477774694996723,0.0689918593375035,3,0.258211807153432,0.697337582840014,"A"
"9","Wheat-Clover",3,0.416918994414707,0.0657472192619023,3,0.207681999391988,0.626155989437426,"A"
"6","SHM",3,0.471828749529158,0.0685336410727933,3,0.253724116709407,0.689933382348909,"A"
"11","No cover",4,0.72680612381358,0.0659174726611732,3,0.517027306489389,0.93658494113777,"A"
"14","Wheat",4,0.723073303211014,0.0661859753621067,3,0.512439990458279,0.933706615963749,"A"
"15","Clover",4,0.709100299380338,0.0689918593375035,3,0.489537411537047,0.92866318722363,"A"
"12","Wheat-Clover",4,0.759434224318838,0.0657472192619024,3,0.550197229296119,0.968671219341557,"A"
"13","SHM",4,0.787272564483925,0.0685336410727933,3,0.569167931664174,1.00537719730368,"A"
