"","Cover","YearN","response","SE","df","lower.CL","upper.CL",".group"
"2","Wheat",2,2.6944375,0.168546033175453,3,2.15804879945055,3.23082620054944,"A"
"1","Clover",2,0.300987499999996,0.151042619967362,3,-0.179697527855506,0.781672527855498,"C"
"4","Wheat-Clover",2,2.27345,0.181112526839293,3,1.69706910811969,2.8498308918803,"A"
"3","SHM",2,1.3347625,0.118354886658708,3,0.95810442824072,1.71142057175927,"B"
"6","Wheat",3,1.2583,0.168546033175453,3,0.721911299450551,1.79468870054944,"B"
"5","Clover",3,2.520675,0.151042619967362,3,2.0399899721445,3.0013600278555,"A"
"8","Wheat-Clover",3,2.2664625,0.181112526839294,3,1.69008160811969,2.84284339188031,"A"
"7","SHM",3,2.083175,0.118354886658708,3,1.70651692824072,2.45983307175928,"A"
"12","Wheat",4,0.6813125,0.168546033175453,3,0.144923799450554,1.21770120054945,"A"
"11","Clover",4,0.510899999999999,0.151042619967361,3,0.0302149721444986,0.991585027855499,"A"
"10","Wheat-Clover",4,0.9573875,0.181112526839294,3,0.381006608119692,1.53376839188031,"A"
"9","SHM",4,0.849224999999999,0.118354886658708,3,0.472566928240721,1.22588307175928,"A"
