"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"9","No cover","Corn-Corn-Corn",2,12.8561,2.00251820608212,3,6.48319333379057,19.2290066662094,"A"
"13","Wheat","Corn-Corn-Corn",2,12.350125,1.77706491298604,3,6.69471133341824,18.0055386665817,"A"
"7","Clover","Corn-Corn-Corn",2,11.085525,1.69769064398347,3,5.68271568254009,16.4883343174599,"A"
"17","Wheat-Clover","Corn-Corn-Corn",2,11.0441,1.51103422450744,3,6.23531471505906,15.8528852849409,"A"
"6","SHM","Corn-Corn-Corn",2,13.3145,2.00934040622955,3,6.91988204813749,19.7091179518625,"A"
"5","No cover","Soybean-Soybean-Soybean",2,11.415025,2.00251820608212,3,5.04211833379057,17.7879316662094,"A"
"3","Wheat","Soybean-Soybean-Soybean",2,13.6605,1.77706491298604,3,8.00508633341823,19.3159136665817,"A"
"18","Clover","Soybean-Soybean-Soybean",2,11.2903,1.69769064398347,3,5.88749068254008,16.6931093174599,"A"
"1","Wheat-Clover","Soybean-Soybean-Soybean",2,12.39765,1.51103422450744,3,7.58886471505907,17.2064352849409,"A"
"12","SHM","Soybean-Soybean-Soybean",2,15.3147,2.00934040622955,3,8.92008204813748,21.7093179518625,"A"
"20","No cover","Corn-Soybean-Corn",2,10.956575,2.00251820608212,3,4.58366833379058,17.3294816662094,"A"
"10","Wheat","Corn-Soybean-Corn",2,9.67267499999999,1.77706491298604,3,4.01726133341823,15.3280886665817,"A"
"2","Clover","Corn-Soybean-Corn",2,12.8787,1.69769064398347,3,7.47589068254009,18.2815093174599,"A"
"19","Wheat-Clover","Corn-Soybean-Corn",2,10.9786,1.51103422450744,3,6.16981471505905,15.7873852849409,"A"
"16","SHM","Corn-Soybean-Corn",2,12.980825,2.00934040622955,3,6.58620704813747,19.3754429518625,"A"
"15","No cover","Corn-Cotton-Soybean",2,11.5956,2.00251820608212,3,5.22269333379057,17.9685066662094,"A"
"4","Wheat","Corn-Cotton-Soybean",2,13.913475,1.77706491298604,3,8.25806133341823,19.5688886665817,"A"
"8","Clover","Corn-Cotton-Soybean",2,13.3321,1.69769064398347,3,7.92929068254008,18.7349093174599,"A"
"14","Wheat-Clover","Corn-Cotton-Soybean",2,14.803975,1.51103422450744,3,9.99518971505907,19.6127602849409,"A"
"11","SHM","Corn-Cotton-Soybean",2,15.0372,2.00934040622955,3,8.64258204813748,21.4318179518625,"A"
"32","No cover","Corn-Corn-Corn",3,8.77795,2.00251820608212,3,2.40504333379059,15.1508566662094,"A"
"33","Wheat","Corn-Corn-Corn",3,8.42169999999997,1.77706491298605,3,2.76628633341822,14.0771136665817,"A"
"26","Clover","Corn-Corn-Corn",3,10.731675,1.69769064398347,3,5.32886568254008,16.1344843174599,"A"
"27","Wheat-Clover","Corn-Corn-Corn",3,10.13845,1.51103422450744,3,5.32966471505905,14.9472352849409,"A"
"30","SHM","Corn-Corn-Corn",3,8.87249999999998,2.00934040622955,3,2.47788204813748,15.2671179518625,"A"
"23","No cover","Soybean-Soybean-Soybean",3,10.77445,2.00251820608213,3,4.40154333379058,17.1473566662094,"A"
"24","Wheat","Soybean-Soybean-Soybean",3,12.064425,1.77706491298605,3,6.40901133341822,17.7198386665818,"A"
"39","Clover","Soybean-Soybean-Soybean",3,16.089675,1.69769064398347,3,10.6868656825401,21.4924843174599,"A"
"40","Wheat-Clover","Soybean-Soybean-Soybean",3,15.36535,1.51103422450744,3,10.5565647150591,20.1741352849409,"A"
"25","SHM","Soybean-Soybean-Soybean",3,13.745675,2.00934040622955,3,7.35105704813748,20.1402929518625,"A"
"38","No cover","Corn-Soybean-Corn",3,15.258025,2.00251820608213,3,8.88511833379057,21.6309316662094,"A"
"21","Wheat","Corn-Soybean-Corn",3,13.777525,1.77706491298605,3,8.12211133341822,19.4329386665818,"A"
"22","Clover","Corn-Soybean-Corn",3,13.829275,1.69769064398347,3,8.42646568254006,19.2320843174599,"A"
"37","Wheat-Clover","Corn-Soybean-Corn",3,14.63045,1.51103422450744,3,9.82166471505905,19.4392352849409,"A"
"36","SHM","Corn-Soybean-Corn",3,16.274,2.00934040622955,3,9.87938204813748,22.6686179518625,"A"
"35","No cover","Corn-Cotton-Soybean",3,5.5943,2.00251820608212,3,-0.778606666209419,11.9672066662094,"A"
"34","Wheat","Corn-Cotton-Soybean",3,7.57587499999999,1.77706491298605,3,1.92046133341821,13.2312886665818,"A"
"31","Clover","Corn-Cotton-Soybean",3,7.44347499999999,1.69769064398347,3,2.04066568254008,12.8462843174599,"A"
"28","Wheat-Clover","Corn-Cotton-Soybean",3,6.38977499999998,1.51103422450744,3,1.58098971505905,11.1985602849409,"A"
"29","SHM","Corn-Cotton-Soybean",3,6.656475,2.00934040622955,3,0.261857048137494,13.0510929518625,"A"
"58","No cover","Corn-Corn-Corn",4,13.1013,2.00251820608212,3,6.72839333379058,19.4742066662094,"A"
"60","Wheat","Corn-Corn-Corn",4,10.9025,1.77706491298604,3,5.24708633341824,16.5579136665817,"A"
"51","Clover","Corn-Corn-Corn",4,15.10625,1.69769064398347,3,9.70344068254009,20.5090593174599,"A"
"46","Wheat-Clover","Corn-Corn-Corn",4,12.270175,1.51103422450743,3,7.46138971505907,17.0789602849409,"A"
"59","SHM","Corn-Corn-Corn",4,14.2779,2.00934040622955,3,7.88328204813749,20.6725179518625,"A"
"44","No cover","Soybean-Soybean-Soybean",4,15.3633,2.00251820608212,3,8.99039333379057,21.7362066662094,"A"
"57","Wheat","Soybean-Soybean-Soybean",4,13.938525,1.77706491298605,3,8.28311133341822,19.5939386665818,"A"
"53","Clover","Soybean-Soybean-Soybean",4,18.073275,1.69769064398347,3,12.6704656825401,23.4760843174599,"A"
"54","Wheat-Clover","Soybean-Soybean-Soybean",4,19.7568,1.51103422450744,3,14.9480147150591,24.5655852849409,"A"
"52","SHM","Soybean-Soybean-Soybean",4,15.617425,2.00934040622955,3,9.22280704813749,22.0120429518625,"A"
"43","No cover","Corn-Soybean-Corn",4,12.4008,2.00251820608212,3,6.02789333379057,18.7737066662094,"A"
"50","Wheat","Corn-Soybean-Corn",4,11.85645,1.77706491298604,3,6.20103633341824,17.5118636665817,"A"
"48","Clover","Corn-Soybean-Corn",4,11.702075,1.69769064398346,3,6.2992656825401,17.1048843174599,"A"
