"","Cover","Cropping.system","YearN","response","SE","df","lower.CL","upper.CL",".group"
"7","No cover","Corn-Corn-Corn",2,21.1626121392862,2.48375925753711,3,13.258181666923,29.0670426116493,"ABC"
"5","Wheat","Corn-Corn-Corn",2,29.7001400426877,1.5453746226317,3,24.7820682846143,34.6182118007612,"A"
"13","Clover","Corn-Corn-Corn",2,22.1596435749307,2.18915662468186,3,15.1927701630245,29.1265169868368,"ABC"
"15","Wheat-Clover","Corn-Corn-Corn",2,26.4952215349454,2.11206662733507,3,19.7736829002699,33.2167601696209,"ABC"
"2","SHM","Corn-Corn-Corn",2,18.391294748896,1.26344672298041,3,14.3704433934242,22.4121461043679,"BC"
"11","No cover","Soybean-Soybean-Soybean",2,23.320352499287,2.1513389977448,3,16.4738316545013,30.1668733440727,"ABC"
"1","Wheat","Soybean-Soybean-Soybean",2,24.394320935891,1.5453746226317,3,19.4762491778176,29.3123926939645,"ABC"
"14","Clover","Soybean-Soybean-Soybean",2,20.7263380223666,2.18915662468186,3,13.7594646104605,27.6932114342728,"ABC"
"20","Wheat-Clover","Soybean-Soybean-Soybean",2,26.8527746198455,2.11206662733506,3,20.13123598517,33.574313254521,"ABC"
"12","SHM","Soybean-Soybean-Soybean",2,19.521897680079,1.26344672298041,3,15.5010463246071,23.5427490355508,"BC"
"6","No cover","Corn-Soybean-Corn",2,21.7946452115924,2.1513389977448,3,14.9481243668067,28.6411660563781,"ABC"
"10","Wheat","Corn-Soybean-Corn",2,26.9816815430101,1.5453746226317,3,22.0636097849366,31.8997533010835,"AB"
"3","Clover","Corn-Soybean-Corn",2,23.1945583534449,2.18915662468186,3,16.2276849415388,30.161431765351,"ABC"
"8","Wheat-Clover","Corn-Soybean-Corn",2,25.3719332165261,2.11206662733507,3,18.6503945818506,32.0934718512016,"ABC"
"4","SHM","Corn-Soybean-Corn",2,19.6939710268181,1.26344672298041,3,15.6731196713463,23.7148223822899,"C"
"19","No cover","Corn-Cotton-Soybean",2,20.6652509302193,2.48376095394817,3,12.760815059119,28.5696868013196,"ABC"
"18","Wheat","Corn-Cotton-Soybean",2,25.0205078788014,1.5453746226317,3,20.1024361207279,29.9385796368748,"ABC"
"17","Clover","Corn-Cotton-Soybean",2,20.7641812756578,2.18915662468186,3,13.7973078637516,27.7310546875639,"ABC"
"16","Wheat-Clover","Corn-Cotton-Soybean",2,25.9764357966824,2.11206662733507,3,19.2548971620069,32.6979744313579,"ABC"
"9","SHM","Corn-Cotton-Soybean",2,19.628965609195,1.26344672298041,3,15.6081142537232,23.6498169646668,"BC"
"25","No cover","Corn-Corn-Corn",3,27.7164527531872,2.1513389977448,3,20.8699319084015,34.5629735979729,"ABCDEF"
"40","Wheat","Corn-Corn-Corn",3,34.1463469988853,1.5453746226317,3,29.2282752408119,39.0644187569588,"ABC"
"37","Clover","Corn-Corn-Corn",3,17.3383647250732,2.18915662468186,3,10.3714913131671,24.3052381369793,"DEF"
"36","Wheat-Clover","Corn-Corn-Corn",3,26.0023746758231,2.11206662733507,3,19.2808360411476,32.7239133104987,"ABCDEF"
"21","SHM","Corn-Corn-Corn",3,19.4100653820565,1.26344672298041,3,15.3892140265846,23.4309167375283,"DEF"
"30","No cover","Soybean-Soybean-Soybean",3,27.91849265303,2.1513389977448,3,21.0719718082443,34.7650134978157,"ABCDE"
"33","Wheat","Soybean-Soybean-Soybean",3,34.3814546554833,1.5453746226317,3,29.4633828974098,39.2995264135567,"ABC"
"29","Clover","Soybean-Soybean-Soybean",3,17.9829958838631,2.18915662468186,3,11.016122471957,24.9498692957692,"DEF"
"28","Wheat-Clover","Soybean-Soybean-Soybean",3,27.9547655024127,2.11206662733506,3,21.2332268677373,34.6763041370882,"ABCD"
"26","SHM","Soybean-Soybean-Soybean",3,18.7382633511696,1.26344672298042,3,14.7174119956978,22.7591147066415,"F"
"34","No cover","Corn-Soybean-Corn",3,22.5303456285566,2.1513389977448,3,15.6838247837709,29.3768664733423,"BCDEF"
"38","Wheat","Corn-Soybean-Corn",3,37.1920963672347,1.5453746226317,3,32.2740246091612,42.1101681253081,"A"
"27","Clover","Corn-Soybean-Corn",3,16.1760865512547,2.18915662468185,3,9.20921313934856,23.1429599631608,"DEF"
"31","Wheat-Clover","Corn-Soybean-Corn",3,25.8933355571298,2.11206662733506,3,19.1717969224544,32.6148741918053,"BCDEF"
"39","SHM","Corn-Soybean-Corn",3,24.2058518073109,1.26344672298042,3,20.185000451839,28.2267031627827,"DEF"
"24","No cover","Corn-Cotton-Soybean",3,20.7041699062346,2.1513389977448,3,13.8576490614489,27.5506907510203,"DEF"
"23","Wheat","Corn-Cotton-Soybean",3,33.7587998837413,1.5453746226317,3,28.8407281256679,38.6768716418148,"AB"
"32","Clover","Corn-Cotton-Soybean",3,15.2971147676508,2.18915662468186,3,8.33024135574465,22.263988179557,"DEF"
"35","Wheat-Clover","Corn-Cotton-Soybean",3,22.6450768612281,2.11206662733507,3,15.9235382265526,29.3666154959036,"CDEF"
"22","SHM","Corn-Cotton-Soybean",3,16.3604102699728,1.26344672298041,3,12.339558914501,20.3812616254446,"EF"
"55","No cover","Corn-Corn-Corn",4,20.8740435966776,2.1513389977448,3,14.0275227518919,27.7205644414633,"ABCDEF"
"45","Wheat","Corn-Corn-Corn",4,23.6699396808538,1.5453746226317,3,18.7518679227803,28.5880114389272,"ABCD"
"51","Clover","Corn-Corn-Corn",4,14.9802599283167,2.18915662468186,3,8.01338651641059,21.9471333402228,"ABCDEF"
"49","Wheat-Clover","Corn-Corn-Corn",4,18.4327855222051,2.11206662733507,3,11.7112468875296,25.1543241568806,"ABCDEF"
"42","SHM","Corn-Corn-Corn",4,13.8834713376686,1.26344672298041,3,9.86261998219683,17.9043226931405,"EF"
"50","No cover","Soybean-Soybean-Soybean",4,20.775317365422,2.1513389977448,3,13.9287965206363,27.6218382102077,"ABCDEF"
"60","Wheat","Soybean-Soybean-Soybean",4,25.0244288382009,1.5453746226317,3,20.1063570801275,29.9425005962744,"AB"
"57","Clover","Soybean-Soybean-Soybean",4,14.7708071147923,2.18915662468185,3,7.80393370288613,21.7376805266984,"CDEF"
"44","Wheat-Clover","Soybean-Soybean-Soybean",4,17.9482290917159,2.11206662733507,3,11.2266904570404,24.6697677263914,"ABCDEF"
"46","SHM","Soybean-Soybean-Soybean",4,14.4551758446317,1.26344672298041,3,10.4343244891599,18.4760272001036,"DEF"
"43","No cover","Corn-Soybean-Corn",4,18.9226005705086,2.1513389977448,3,12.0760797257229,25.7691214152943,"ABCDEF"
"58","Wheat","Corn-Soybean-Corn",4,25.0167511680368,1.54537462263169,3,20.0986794099634,29.9348229261103,"AC"
"56","Clover","Corn-Soybean-Corn",4,14.9558514558205,2.18915662468186,3,7.98897804391435,21.9227248677266,"BDEF"
"59","Wheat-Clover","Corn-Soybean-Corn",4,18.7042097020056,2.11206662733506,3,11.9826710673302,25.4257483366811,"ABCDEF"
"41","SHM","Corn-Soybean-Corn",4,14.1488079254222,1.2634467229804,3,10.1279565699504,18.169659280894,"EF"
"53","No cover","Corn-Cotton-Soybean",4,19.8328770685207,2.1513389977448,3,12.986356223735,26.6793979133064,"ABCDEF"
"48","Wheat","Corn-Cotton-Soybean",4,20.1842133700022,1.5453746226317,3,15.2661416119288,25.1022851280757,"ABCDE"
"52","Clover","Corn-Cotton-Soybean",4,13.7192090191466,2.18915662468185,3,6.75233560724051,20.6860824310527,"ABCDEF"
"54","Wheat-Clover","Corn-Cotton-Soybean",4,15.4306761897574,2.43840634946016,3,7.67057891213763,23.1907734673773,"ABCDEF"
"47","SHM","Corn-Cotton-Soybean",4,11.8328551940618,1.26344672298041,3,7.81200383859001,15.8537065495336,"F"
